user,commits,prs_opened,own_prs_merged,teammate_prs_merged,issues_opened,conversation_comments,review_comments,reviews,approvals,repositories,repository_count,total_activity
bryantal,1,0,0,0,69,138,1,2,1,bcsr,1,211
myersCody,135,0,0,0,0,0,0,0,0,bcsr,1,135
sheggen,50,1,0,0,4,4,0,0,0,bcsr,1,59
memo330179,50,0,0,0,0,0,0,0,0,bcsr,1,50
MImran2002,0,1,0,0,25,0,11,10,1,bcsr,1,47
elajamali,32,0,0,0,0,0,0,0,0,bcsr,1,32
ArtemKurasov,0,0,0,0,0,0,25,1,0,bcsr,1,26
bakobagassas,12,3,1,0,1,0,4,4,0,bcsr,1,24
Cody Myers,20,0,0,0,0,0,0,0,0,bcsr,1,20
GuillermoCruz32,11,0,0,0,0,0,0,0,0,bcsr,1,11
May,9,0,0,0,0,0,0,0,0,bcsr,1,9
johnsonwe,9,0,0,0,0,0,0,0,0,bcsr,1,9
HaileyB0311,6,0,0,0,0,0,0,0,0,bcsr,1,6
root,6,0,0,0,0,0,0,0,0,bcsr,1,6
Scott Heggen,5,0,0,0,0,0,0,0,0,bcsr,1,5
armutlutost,0,5,0,0,0,0,0,0,0,bcsr,1,5
santoshernandezr,5,0,0,0,0,0,0,0,0,bcsr,1,5
Guillermo Ramos Macias,4,0,0,0,0,0,0,0,0,bcsr,1,4
Jamaliela,4,0,0,0,0,0,0,0,0,bcsr,1,4
Kafui123,0,0,0,0,0,0,2,2,0,bcsr,1,4
Guillermo Ramos,3,0,0,0,0,0,0,0,0,bcsr,1,3
baobao1355,0,1,0,0,0,2,0,0,0,bcsr,1,3
sreynit02,0,1,0,0,0,0,1,1,0,bcsr,1,3
zapataa0,0,1,0,0,0,0,1,1,0,bcsr,1,3
AbdouLayeCDiop,0,0,0,0,1,1,0,0,0,bcsr,1,2
Alex Bryant,2,0,0,0,0,0,0,0,0,bcsr,1,2
AndersonStettner,0,1,0,0,0,1,0,0,0,bcsr,1,2
May Jue,2,0,0,0,0,0,0,0,0,bcsr,1,2
Sarah Watts,2,0,0,0,0,0,0,0,0,bcsr,1,2
Sher Sanginov,2,0,0,0,0,0,0,0,0,bcsr,1,2
shubhrai23,0,1,0,0,0,1,0,0,0,bcsr,1,2
Guillermo Ramos-Macias,1,0,0,0,0,0,0,0,0,bcsr,1,1
conwelld,0,1,0,0,0,0,0,0,0,bcsr,1,1
daizenj,0,0,0,0,1,0,0,0,0,bcsr,1,1
eboselea,0,0,0,0,0,1,0,0,0,bcsr,1,1
johnsont7,0,0,0,0,0,1,0,0,0,bcsr,1,1
sanginovs,1,0,0,0,0,0,0,0,0,bcsr,1,1
