repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
bcsr,70,ReadMe and Database Setup,sreynit02,User,open,False,2022-02-08 20:48:12+00:00,2022-02-25T19:12:32Z,,,False,,,67,122,4,6,0,3,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/70,,,False,False
bcsr,72,Master,AndersonStettner,User,closed,False,2023-01-12 20:09:14+00:00,2023-05-04T15:21:56Z,2023-05-04 15:21:56+00:00,,False,,,80,16,9,11,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/72,,,True,False
bcsr,78,Course materials,sheggen,User,open,False,2024-08-07 15:27:49+00:00,2024-08-07T15:27:49Z,,,False,,,190,80,38,5,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/78,,,False,False
bcsr,82,Add Course Search,bakobagassas,User,closed,False,2026-04-07 21:07:54+00:00,2026-04-13T18:03:28Z,2026-04-13 18:02:52+00:00,2026-04-13 18:02:52+00:00,True,,,93,2,119,12,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/82,140.91611111111112,5.87150462962963,False,True
bcsr,83,added name to contributors list,bakobagassas,User,open,False,2026-04-13 20:54:29+00:00,2026-04-13T20:54:29Z,,,False,,,3,0,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/83,,,False,False
bcsr,97,fix keep footer at bottom of page using flexbox (fixes #96),shubhrai23,User,open,False,2026-08-11 21:16:29+00:00,2026-08-14T23:11:13Z,,,False,,,9,9,1,3,0,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/97,,,False,False
bcsr,106,readme updated for WSL in window set up,MImran2002,User,open,False,2026-08-20 12:50:10+00:00,2026-09-15T21:18:12Z,,,False,,,225,71,5,8,0,39,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106,,,False,False
bcsr,112,Fix NameError: import Deadline model in deadlineManagement.py,baobao1355,User,open,False,2026-09-12 22:48:52+00:00,2026-09-15T15:49:46Z,,,False,,,1,0,1,1,1,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/112,,,False,False
bcsr,113,Input type enforcement,bakobagassas,User,open,False,2026-09-14 23:46:44+00:00,2026-09-15T15:41:00Z,,,False,,,7,0,2,6,0,1,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/113,,,False,False
bcsr,114,Implemented Calendar date picker,zapataa0,User,open,False,2026-09-15 04:07:12+00:00,2026-09-15T16:00:02Z,,,False,,,230,77,7,15,0,3,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/114,,,False,False
bcsr,116,fix: syllabus upload paths containing spaces,armutlutost,User,open,False,2026-09-15 14:51:29+00:00,2026-09-15T14:51:29Z,,,False,,,19,19,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/116,,,False,False
bcsr,117,Fix footer positioning on short pages,armutlutost,User,open,False,2026-09-15 15:03:36+00:00,2026-09-15T15:03:36Z,,,False,,,27,20,3,2,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/117,,,False,False
bcsr,118,Fix upcoming deadline display and date formatting,armutlutost,User,open,False,2026-09-15 15:13:19+00:00,2026-09-15T15:13:19Z,,,False,,,16,8,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/118,,,False,False
bcsr,119,Clarify deadline creation form fields,armutlutost,User,open,False,2026-09-15 15:13:31+00:00,2026-09-15T15:13:31Z,,,False,,,11,10,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/119,,,False,False
bcsr,120,Differentiate deadline edit action buttons,armutlutost,User,open,False,2026-09-15 15:14:00+00:00,2026-09-15T15:14:00Z,,,False,,,3,3,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/120,,,False,False
bcsr,121,103 flash message,conwelld,User,open,False,2026-09-15 15:46:50+00:00,2026-09-15T15:47:03Z,,,False,,,232,72,7,11,0,0,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/121,,,False,False
