repo,id,author,author_type,created_at,updated_at,pull_request_url,html_url
bcsr,804059329,bryantal,User,2022-02-10T19:59:49Z,2022-02-10T19:59:49Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/70,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/70#discussion_r804059329
bcsr,815027000,sreynit02,User,2022-02-25T19:11:39Z,2022-02-25T19:12:32Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/70,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/70#discussion_r815027000
bcsr,3868295034,bakobagassas,User,2026-08-27T02:39:18Z,2026-08-27T02:39:18Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3868295034
bcsr,3891523427,zapataa0,User,2026-08-31T03:33:10Z,2026-08-31T03:33:10Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3891523427
bcsr,3894734169,MImran2002,User,2026-08-31T13:10:04Z,2026-08-31T13:10:04Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3894734169
bcsr,3894735182,MImran2002,User,2026-08-31T13:10:12Z,2026-08-31T13:10:12Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3894735182
bcsr,3899767658,bakobagassas,User,2026-09-01T00:52:53Z,2026-09-01T00:52:54Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3899767658
bcsr,3900071864,bakobagassas,User,2026-09-01T01:54:40Z,2026-09-01T01:54:40Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3900071864
bcsr,3900169762,bakobagassas,User,2026-09-01T02:15:39Z,2026-09-01T15:43:17Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3900169762
bcsr,3917651731,MImran2002,User,2026-09-02T19:03:51Z,2026-09-02T19:03:51Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3917651731
bcsr,3917664185,MImran2002,User,2026-09-02T19:05:25Z,2026-09-02T19:05:25Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3917664185
bcsr,3917668589,MImran2002,User,2026-09-02T19:05:58Z,2026-09-02T19:05:59Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3917668589
bcsr,3917671184,MImran2002,User,2026-09-02T19:06:16Z,2026-09-02T19:06:17Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3917671184
bcsr,3917680964,MImran2002,User,2026-09-02T19:07:28Z,2026-09-02T19:07:29Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r3917680964
bcsr,4016454789,MImran2002,User,2026-09-15T14:03:08Z,2026-09-15T14:03:24Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/113,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/113#discussion_r4016454789
bcsr,4016950712,MImran2002,User,2026-09-15T14:50:29Z,2026-09-15T15:01:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/114,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/114#discussion_r4016950712
bcsr,4016997527,MImran2002,User,2026-09-15T14:55:01Z,2026-09-15T15:01:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/114,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/114#discussion_r4016997527
bcsr,4017066371,MImran2002,User,2026-09-15T15:01:43Z,2026-09-15T15:01:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/114,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/114#discussion_r4017066371
bcsr,4019820605,ArtemKurasov,User,2026-09-15T20:17:09Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019820605
bcsr,4019860288,ArtemKurasov,User,2026-09-15T20:22:05Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019860288
bcsr,4019865146,ArtemKurasov,User,2026-09-15T20:22:43Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019865146
bcsr,4019868164,ArtemKurasov,User,2026-09-15T20:23:05Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019868164
bcsr,4019890545,ArtemKurasov,User,2026-09-15T20:25:56Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019890545
bcsr,4019907843,ArtemKurasov,User,2026-09-15T20:28:07Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019907843
bcsr,4019918222,Kafui123,User,2026-09-15T20:29:18Z,2026-09-15T20:29:18Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019918222
bcsr,4019928761,ArtemKurasov,User,2026-09-15T20:30:37Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019928761
bcsr,4019959196,ArtemKurasov,User,2026-09-15T20:34:30Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019959196
bcsr,4019974741,ArtemKurasov,User,2026-09-15T20:36:21Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019974741
bcsr,4019981525,ArtemKurasov,User,2026-09-15T20:37:13Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019981525
bcsr,4019983116,Kafui123,User,2026-09-15T20:37:24Z,2026-09-15T20:37:24Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019983116
bcsr,4019988866,ArtemKurasov,User,2026-09-15T20:38:09Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019988866
bcsr,4019997745,ArtemKurasov,User,2026-09-15T20:39:15Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4019997745
bcsr,4020012398,ArtemKurasov,User,2026-09-15T20:41:04Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020012398
bcsr,4020023343,ArtemKurasov,User,2026-09-15T20:42:24Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020023343
bcsr,4020047293,ArtemKurasov,User,2026-09-15T20:45:22Z,2026-09-15T21:15:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020047293
bcsr,4020068500,ArtemKurasov,User,2026-09-15T20:48:05Z,2026-09-15T21:15:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020068500
bcsr,4020080938,ArtemKurasov,User,2026-09-15T20:49:42Z,2026-09-15T21:15:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020080938
bcsr,4020083020,ArtemKurasov,User,2026-09-15T20:49:55Z,2026-09-15T21:15:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020083020
bcsr,4020112462,ArtemKurasov,User,2026-09-15T20:53:45Z,2026-09-15T21:15:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020112462
bcsr,4020115705,ArtemKurasov,User,2026-09-15T20:54:11Z,2026-09-15T21:15:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020115705
bcsr,4020120820,ArtemKurasov,User,2026-09-15T20:54:51Z,2026-09-15T21:15:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/pulls/106,https://github.com/BCStudentSoftwareDevTeam/bcsr/pull/106#discussion_r4020120820
