repo,date,user,activity,month,weekday,hour
cas,2024-12-18 17:22:11+00:00,stevensonmichel,Commit,2024-12,Wednesday,17
cas,2024-12-17 19:23:37+00:00,stevensonmichel,Commit,2024-12,Tuesday,19
cas,2024-12-16 18:56:54+00:00,stevensonmichel,Commit,2024-12,Monday,18
cas,2024-11-08 19:14:30+00:00,Karina-Agliullova,Commit,2024-11,Friday,19
cas,2024-10-21 21:16:11+00:00,hoerstl,Commit,2024-10,Monday,21
cas,2024-10-21 20:29:41+00:00,hoerstl,Commit,2024-10,Monday,20
cas,2024-10-21 19:28:57+00:00,stevensonmichel,Commit,2024-10,Monday,19
cas,2024-10-21 19:00:25+00:00,hoerstl,Commit,2024-10,Monday,19
cas,2024-10-21 18:00:14+00:00,hoerstl,Commit,2024-10,Monday,18
cas,2024-10-02 17:00:05+00:00,sheggen,Commit,2024-10,Wednesday,17
cas,2024-10-01 17:10:55+00:00,sheggen,Commit,2024-10,Tuesday,17
cas,2024-09-30 22:44:50+00:00,hoerstl,Commit,2024-09,Monday,22
cas,2024-09-30 22:43:54+00:00,hoerstl,Commit,2024-09,Monday,22
cas,2024-09-30 21:53:53+00:00,hoerstl,Commit,2024-09,Monday,21
cas,2024-09-24 15:38:58+00:00,sheggen,Commit,2024-09,Tuesday,15
cas,2024-09-24 15:38:34+00:00,sheggen,Commit,2024-09,Tuesday,15
cas,2024-09-13 12:56:48+00:00,sheggen,Commit,2024-09,Friday,12
cas,2024-04-17 14:00:07+00:00,AndersonStettner,Commit,2024-04,Wednesday,14
cas,2024-04-17 13:58:50+00:00,AndersonStettner,Commit,2024-04,Wednesday,13
cas,2024-04-17 13:58:25+00:00,AndersonStettner,Commit,2024-04,Wednesday,13
cas,2024-04-17 13:12:16+00:00,AndersonStettner,Commit,2024-04,Wednesday,13
cas,2024-04-17 12:37:51+00:00,AndersonStettner,Commit,2024-04,Wednesday,12
cas,2022-02-28 17:17:58+00:00,mupotsal,Commit,2022-02,Monday,17
