repo,sha,author,author_type,committer,date,message,html_url
cas,3c2cb112f380bbfe1d131b005d7c1aa93f76c337,stevensonmichel,User,stevensonmichel,2024-12-18T17:22:11Z,Fix search bar for programs,https://github.com/BCStudentSoftwareDevTeam/cas/commit/3c2cb112f380bbfe1d131b005d7c1aa93f76c337
cas,0ea7a796b216cc4acbec45daa2deda4539a63745,stevensonmichel,User,stevensonmichel,2024-12-17T19:23:37Z,Fixed MAT link and dropdown position,https://github.com/BCStudentSoftwareDevTeam/cas/commit/0ea7a796b216cc4acbec45daa2deda4539a63745
cas,3e796326a7b510e0aa9dd1bfb930ba665984563a,stevensonmichel,User,stevensonmichel,2024-12-16T18:56:54Z,Merge branch '432-Fix-Division-Scrolling' of https://github.com/BCStudentSoftwareDevTeam/cas into 432-Fix-Division-Scrolling,https://github.com/BCStudentSoftwareDevTeam/cas/commit/3e796326a7b510e0aa9dd1bfb930ba665984563a
cas,4c5d0342610ec5558e6765072c6f10199a2920fd,Karina-Agliullova,User,Karina-Agliullova,2024-11-08T19:14:30Z,Small fix,https://github.com/BCStudentSoftwareDevTeam/cas/commit/4c5d0342610ec5558e6765072c6f10199a2920fd
cas,08b9eea3b603b261233b494d5d58623aceeebc7d,hoerstl,User,hoerstl,2024-10-21T21:16:11Z,Renamed the divisions header to programs,https://github.com/BCStudentSoftwareDevTeam/cas/commit/08b9eea3b603b261233b494d5d58623aceeebc7d
cas,2f2caa2a5c76605e7e2092345b46194cb0040069,hoerstl,User,hoerstl,2024-10-21T20:29:41Z,Made the select invisible and made it searchable with a bunch of relevant terms,https://github.com/BCStudentSoftwareDevTeam/cas/commit/2f2caa2a5c76605e7e2092345b46194cb0040069
cas,c8daa4e083cbfdeff0f5e7add40e359cc5128131,stevensonmichel,User,stevensonmichel,2024-10-21T19:28:57Z,Delete unnecessary division button,https://github.com/BCStudentSoftwareDevTeam/cas/commit/c8daa4e083cbfdeff0f5e7add40e359cc5128131
cas,4a77231cc285ed0e9c19736820cdab3a43d257e0,hoerstl,User,hoerstl,2024-10-21T19:00:25Z,Added redirect functionality to the new division select on the sidebar,https://github.com/BCStudentSoftwareDevTeam/cas/commit/4a77231cc285ed0e9c19736820cdab3a43d257e0
cas,14757ace556a708beaaba4a06ed05993558030f9,hoerstl,User,hoerstl,2024-10-21T18:00:14Z,Started modifying the sidebar,https://github.com/BCStudentSoftwareDevTeam/cas/commit/14757ace556a708beaaba4a06ed05993558030f9
cas,1216051f11482ae89478c70ecb001cf18ea897ae,sheggen,User,sheggen,2024-10-02T17:00:05Z,Open docusign doc in new window,https://github.com/BCStudentSoftwareDevTeam/cas/commit/1216051f11482ae89478c70ecb001cf18ea897ae
cas,05d555510d92dccce2eb2341b552440616afb2e4,sheggen,User,sheggen,2024-10-01T17:10:55Z,"Remove special topics courses from crosslisted dropdown, add docusign link",https://github.com/BCStudentSoftwareDevTeam/cas/commit/05d555510d92dccce2eb2341b552440616afb2e4
cas,aae1400fc46b24294c2efc8f6e7e25ee50e0ce1f,hoerstl,User,hoerstl,2024-09-30T22:44:50Z,Removed a comment,https://github.com/BCStudentSoftwareDevTeam/cas/commit/aae1400fc46b24294c2efc8f6e7e25ee50e0ce1f
cas,cf018df3b67a43d3f6171a33964349be69951245,hoerstl,User,hoerstl,2024-09-30T22:43:54Z,Removed wrapper from everywhere and adjusted sidebar styling,https://github.com/BCStudentSoftwareDevTeam/cas/commit/cf018df3b67a43d3f6171a33964349be69951245
cas,4e23225c4d088494a2212da778f9b931f8526e20,hoerstl,User,hoerstl,2024-09-30T21:53:53Z,Started rearranging the layout of base.html to allow for proper sizing of the sidebar and mainContent,https://github.com/BCStudentSoftwareDevTeam/cas/commit/4e23225c4d088494a2212da778f9b931f8526e20
cas,92f19e68ae5c219748527d96ec8b8e129d8f1630,sheggen,User,sheggen,2024-09-24T15:38:58Z,"Course resources working properly, no errors",https://github.com/BCStudentSoftwareDevTeam/cas/commit/92f19e68ae5c219748527d96ec8b8e129d8f1630
cas,d89d97e99ed72da445cd2aa6e63f08f48dc2d5cd,sheggen,User,sheggen,2024-09-24T15:38:34Z,Minor prod changes,https://github.com/BCStudentSoftwareDevTeam/cas/commit/d89d97e99ed72da445cd2aa6e63f08f48dc2d5cd
cas,1fbb467731be9dd941ecc58be851127fd2b54628,sheggen,User,sheggen,2024-09-13T12:56:48Z,Added Course Resources features,https://github.com/BCStudentSoftwareDevTeam/cas/commit/1fbb467731be9dd941ecc58be851127fd2b54628
cas,2092a5270a72faae66d140aac9225fb64e0aa247,AndersonStettner,User,web-flow,2024-04-17T14:00:07Z,Update devcontainer.json,https://github.com/BCStudentSoftwareDevTeam/cas/commit/2092a5270a72faae66d140aac9225fb64e0aa247
cas,505caca597d7f907766d3e742c1e8f54d3ab1b4c,AndersonStettner,User,web-flow,2024-04-17T13:58:50Z,Update secret_config.yaml,https://github.com/BCStudentSoftwareDevTeam/cas/commit/505caca597d7f907766d3e742c1e8f54d3ab1b4c
cas,cfb38e46db1bfef15a5092d4a7a8d27c43aea4e0,AndersonStettner,User,web-flow,2024-04-17T13:58:25Z,Update secret_config.yaml,https://github.com/BCStudentSoftwareDevTeam/cas/commit/cfb38e46db1bfef15a5092d4a7a8d27c43aea4e0
cas,b21cd5d6b05021bfda33e9c04c36211b84e17ab6,AndersonStettner,User,AndersonStettner,2024-04-17T13:12:16Z,Changed the port that flask runs on,https://github.com/BCStudentSoftwareDevTeam/cas/commit/b21cd5d6b05021bfda33e9c04c36211b84e17ab6
cas,3825fd3830654058f800d7b1ddd18697c58cfba6,AndersonStettner,User,AndersonStettner,2024-04-17T12:37:51Z,Containerized CAS dev environment,https://github.com/BCStudentSoftwareDevTeam/cas/commit/3825fd3830654058f800d7b1ddd18697c58cfba6
cas,dcd893f04353b9d3b894ae7a974caae29225dff6,mupotsal,User,mupotsal,2022-02-28T17:17:58Z,fixed the crosslisted feature,https://github.com/BCStudentSoftwareDevTeam/cas/commit/dcd893f04353b9d3b894ae7a974caae29225dff6
cas,f8376698f5a2ba7676ce126edf6e16c9971187ab,mupotsal,User,mupotsal,2022-02-28T16:17:25Z,"Revert ""Merge pull request #422 from BCStudentSoftwareDevTeam/crosslisted-feature""

This reverts commit d5b4c2ff0a7963a45b28dc2d4001ed15b642b9e2, reversing
changes made to 309e1f058a8180dfe3a7f9caf10a5ba2f692fca7.",https://github.com/BCStudentSoftwareDevTeam/cas/commit/f8376698f5a2ba7676ce126edf6e16c9971187ab
cas,f7ebf9315078e36b6c521f6d325bc72d32ac815c,zachneill,User,zachneill,2022-02-16T21:28:18Z,Return root back to password,https://github.com/BCStudentSoftwareDevTeam/cas/commit/f7ebf9315078e36b6c521f6d325bc72d32ac815c
cas,1406ce952a4e582b459afe493cbce5047caaa2a3,zachneill,User,zachneill,2022-02-16T21:22:33Z,Remove test images,https://github.com/BCStudentSoftwareDevTeam/cas/commit/1406ce952a4e582b459afe493cbce5047caaa2a3
cas,39491efb965e9a4086c09d2a2ce8974ea7395c3d,mupotsal,User,mupotsal,2022-02-15T20:37:09Z,fixed the crosslisted issue,https://github.com/BCStudentSoftwareDevTeam/cas/commit/39491efb965e9a4086c09d2a2ce8974ea7395c3d
cas,4f897b53cdaddefedab401296555d635ebdf7f1d,zachneill,User,zachneill,2022-02-15T18:40:11Z,Re-implement try except,https://github.com/BCStudentSoftwareDevTeam/cas/commit/4f897b53cdaddefedab401296555d635ebdf7f1d
cas,2d8dfdd10ae51ad3dd83fd7811c0db63005518a2,zachneill,User,zachneill,2022-02-15T17:55:39Z,Merge branch 'development' of https://github.com/BCStudentSoftwareDevTeam/cas into handling-cancel-image-upload-373,https://github.com/BCStudentSoftwareDevTeam/cas/commit/2d8dfdd10ae51ad3dd83fd7811c0db63005518a2
cas,764ba168d025bbd803370571bc0890f9bb7e6976,mupotsal,User,mupotsal,2022-02-11T19:01:31Z,table structure bot okay,https://github.com/BCStudentSoftwareDevTeam/cas/commit/764ba168d025bbd803370571bc0890f9bb7e6976
cas,e804cba1ec0b239646139f452a4666665235d6b8,mupotsal,User,mupotsal,2022-02-07T15:58:50Z,fixed the crosslisted course issus,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e804cba1ec0b239646139f452a4666665235d6b8
cas,6d82f2750d8b2c60cf6cc87260f9364067c31027,Luis Riera,,Luis Riera,2022-02-01T20:36:06Z,sorts the division programs in the sidebar alphabetically,https://github.com/BCStudentSoftwareDevTeam/cas/commit/6d82f2750d8b2c60cf6cc87260f9364067c31027
cas,9e8b90278a424487cc7aa21d4d06c1ba58b0bd31,sreynit02,User,sreynit02,2022-01-31T19:32:27Z,ordered program alphabetically,https://github.com/BCStudentSoftwareDevTeam/cas/commit/9e8b90278a424487cc7aa21d4d06c1ba58b0bd31
cas,8ac0bbacbbfdea42e6988d930571f2eeb0a33cdf,zachneill,User,web-flow,2021-11-19T19:15:08Z,restoring unnecessary changes,https://github.com/BCStudentSoftwareDevTeam/cas/commit/8ac0bbacbbfdea42e6988d930571f2eeb0a33cdf
cas,75d1d03d9eda4dd760b11755bed683c48c98708d,zachneill,User,web-flow,2021-11-19T19:13:45Z,uncommit root change,https://github.com/BCStudentSoftwareDevTeam/cas/commit/75d1d03d9eda4dd760b11755bed683c48c98708d
cas,d00176ede197d0b7d75ae82ea6d44ee3c708a624,zachneill,User,zachneill,2021-11-19T19:05:13Z,fixed jinja and pulled development,https://github.com/BCStudentSoftwareDevTeam/cas/commit/d00176ede197d0b7d75ae82ea6d44ee3c708a624
cas,4ac5b807afd7c31166f70eda0373e1eaea975afc,zachneill,User,zachneill,2021-11-19T19:04:27Z,fixed jinja,https://github.com/BCStudentSoftwareDevTeam/cas/commit/4ac5b807afd7c31166f70eda0373e1eaea975afc
cas,bacd91855cbde81bd62cf57d79be39476560a252,zachneill,User,zachneill,2021-11-19T18:15:34Z,WIP oneline jinja didn't work,https://github.com/BCStudentSoftwareDevTeam/cas/commit/bacd91855cbde81bd62cf57d79be39476560a252
cas,66bd634e8772a8a0f5b3228536c429bf50d7f871,zachneill,User,zachneill,2021-11-19T17:36:28Z,WIP jinja oneline idea,https://github.com/BCStudentSoftwareDevTeam/cas/commit/66bd634e8772a8a0f5b3228536c429bf50d7f871
cas,6d5acc751f9599f7b7cfcc86ef2a2e9fd711cbd6,zachneill,User,zachneill,2021-11-18T17:34:49Z,Merge remote-tracking branch 'origin' into x-button-crosslisted-courses-406,https://github.com/BCStudentSoftwareDevTeam/cas/commit/6d5acc751f9599f7b7cfcc86ef2a2e9fd711cbd6
cas,41958cf911376de5f87baaf50e0f15a90b574e72,tylerpar99,User,tylerpar99,2021-11-15T18:02:22Z,Fixes pr comments.,https://github.com/BCStudentSoftwareDevTeam/cas/commit/41958cf911376de5f87baaf50e0f15a90b574e72
