user,commits,prs_opened,own_prs_merged,teammate_prs_merged,issues_opened,conversation_comments,review_comments,reviews,approvals,repositories,repository_count,total_activity
bryantal,11,0,0,0,388,629,1,8,6,cas,1,1037
myersCody,352,0,0,0,0,0,0,0,0,cas,1,352
sheggen,165,0,0,0,9,4,0,0,0,cas,1,178
memo330179,125,0,0,0,0,0,0,0,0,cas,1,125
awyoonis,122,0,0,0,0,0,0,0,0,cas,1,122
Sher Sanginov,99,0,0,0,0,0,0,0,0,cas,1,99
wgs1862019,96,0,0,0,0,0,0,0,0,cas,1,96
nelsonkenny,71,0,0,0,0,0,0,0,0,cas,1,71
Jesson Soto Ventura,65,0,0,0,0,0,0,0,0,cas,1,65
grrdsoto,61,0,0,0,0,0,0,0,0,cas,1,61
OtienoAnne,52,0,0,0,0,0,0,0,0,cas,1,52
Cody Myers,45,0,0,0,0,0,0,0,0,cas,1,45
johnsonwe,45,0,0,0,0,0,0,0,0,cas,1,45
Aleksandra Cvetanovska,44,0,0,0,0,0,0,0,0,cas,1,44
Sarah Watts,37,0,0,0,0,0,0,0,0,cas,1,37
Hila Manalai,35,0,0,0,0,0,0,0,0,cas,1,35
zachneill,19,8,7,0,3,5,0,0,0,cas,1,35
Scott Heggen,32,0,0,0,0,0,0,0,0,cas,1,32
Jesson Soto,23,0,0,0,0,0,0,0,0,cas,1,23
Chauwaj,21,0,0,0,0,0,0,0,0,cas,1,21
None,21,0,0,0,0,0,0,0,0,cas,1,21
Kat Adams & Bria Williams,20,0,0,0,0,0,0,0,0,cas,1,20
agarwali,18,0,0,0,0,0,0,0,0,cas,1,18
jamal Aw Yonis,18,0,0,0,0,0,0,0,0,cas,1,18
Muhammad Hamza Khattak,15,0,0,0,0,0,0,0,0,cas,1,15
mupotsal,11,3,3,0,1,0,0,0,0,cas,1,15
phuyalb16,14,0,0,0,0,0,0,0,0,cas,1,14
Jose Zindia,12,0,0,0,0,0,0,0,0,cas,1,12
Sandesh-L,0,2,2,0,4,6,0,0,0,cas,1,12
nelsonke,10,0,0,0,0,0,0,0,0,cas,1,10
hoerstl,7,1,1,0,0,1,0,0,0,cas,1,9
romano-w,9,0,0,0,0,0,0,0,0,cas,1,9
sanginovs,8,0,0,0,0,1,0,0,0,cas,1,9
sreynit02,4,2,2,0,0,2,0,0,0,cas,1,8
AndersonStettner,5,1,1,0,1,0,0,0,0,cas,1,7
Karina-Agliullova,1,2,2,0,1,3,0,0,0,cas,1,7
Nicholas DeTore,6,0,0,0,0,0,0,0,0,cas,1,6
tylerpar99,1,4,3,0,0,1,0,0,0,cas,1,6
Jamal Aw Yonis,5,0,0,0,0,0,0,0,0,cas,1,5
escalerapadronl,2,0,0,0,1,2,0,0,0,cas,1,5
gastonjarju,1,1,1,0,1,1,0,0,0,cas,1,4
josezindia,4,0,0,0,0,0,0,0,0,cas,1,4
stevensonmichel,4,0,0,0,0,0,0,0,0,cas,1,4
tahmidefaz,4,0,0,0,0,0,0,0,0,cas,1,4
Luis Riera,2,0,0,0,0,0,0,0,0,cas,1,2
May Jue,2,0,0,0,0,0,0,0,0,cas,1,2
Tyler Parton,2,0,0,0,0,0,0,0,0,cas,1,2
Anne Otieno,1,0,0,0,0,0,0,0,0,cas,1,1
Cedrick-J,0,0,0,0,1,0,0,0,0,cas,1,1
Ebenezer997,0,0,0,0,0,1,0,0,0,cas,1,1
Guillermo Ramos,1,0,0,0,0,0,0,0,0,cas,1,1
Guillermo Ramos Macias,1,0,0,0,0,0,0,0,0,cas,1,1
Guillermo Ramos-Macias,1,0,0,0,0,0,0,0,0,cas,1,1
