repo,id,author,author_type,created_at,updated_at,issue_url,html_url
cas,852138890,bryantal,User,2016-06-07T13:49:47Z,2021-06-01T13:47:31Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/4#issuecomment-852138890
cas,852138891,bryantal,User,2016-06-07T15:09:25Z,2021-06-01T13:47:31Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/4#issuecomment-852138891
cas,852138950,bryantal,User,2016-06-07T15:43:37Z,2021-06-01T13:47:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/5#issuecomment-852138950
cas,852138952,bryantal,User,2016-06-07T20:09:38Z,2021-06-01T13:47:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/5#issuecomment-852138952
cas,852138893,bryantal,User,2016-06-07T20:09:48Z,2021-06-01T13:47:31Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/4#issuecomment-852138893
cas,852139044,bryantal,User,2016-06-07T20:10:55Z,2021-06-01T13:47:44Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/7,https://github.com/BCStudentSoftwareDevTeam/cas/issues/7#issuecomment-852139044
cas,852138988,bryantal,User,2016-06-07T20:24:31Z,2021-06-01T13:47:40Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/6,https://github.com/BCStudentSoftwareDevTeam/cas/issues/6#issuecomment-852138988
cas,852138993,bryantal,User,2016-06-07T20:38:34Z,2021-06-01T13:47:41Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/6,https://github.com/BCStudentSoftwareDevTeam/cas/issues/6#issuecomment-852138993
cas,852138995,bryantal,User,2016-06-08T13:52:20Z,2021-06-01T13:47:41Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/6,https://github.com/BCStudentSoftwareDevTeam/cas/issues/6#issuecomment-852138995
cas,852139074,bryantal,User,2016-06-08T13:53:30Z,2021-06-01T13:47:46Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/8,https://github.com/BCStudentSoftwareDevTeam/cas/issues/8#issuecomment-852139074
cas,852139148,bryantal,User,2016-06-08T14:10:45Z,2021-06-01T13:47:51Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/10,https://github.com/BCStudentSoftwareDevTeam/cas/issues/10#issuecomment-852139148
cas,852139107,bryantal,User,2016-06-08T14:52:56Z,2021-06-01T13:47:49Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/cas/issues/9,https://github.com/BCStudentSoftwareDevTeam/cas/issues/9#issuecomment-852139107
