repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
cas,4,Program Changes Crash,bryantal,User,closed,2016-06-06 19:28:40+00:00,2016-06-07T20:09:48Z,2016-06-07 20:09:48+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/4,1.0285648148148148
cas,5,Division Changes Crash,bryantal,User,closed,2016-06-06 19:30:15+00:00,2016-06-07T20:09:38Z,2016-06-07 20:09:38+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/5,1.0273495370370371
cas,6,Unlocking and Locking Terms,bryantal,User,closed,2016-06-06 19:31:30+00:00,2016-06-21T15:08:12Z,2016-06-08 13:52:20+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/6,1.7644675925925926
cas,7,Create A New Term,bryantal,User,closed,2016-06-06 19:33:30+00:00,2016-06-07T20:10:55Z,2016-06-07 20:10:55+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/7,1.0259837962962963
cas,8,Change Tracker,bryantal,User,closed,2016-06-06 19:36:35+00:00,2016-06-08T13:53:30Z,2016-06-08 13:53:30+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/8,1.7617476851851852
cas,9,Locking Crash,bryantal,User,closed,2016-06-08 13:46:43+00:00,2016-06-08T14:52:56Z,2016-06-08 14:52:56+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/9,0.04598379629629629
cas,10,Editing Courses,bryantal,User,closed,2016-06-08 14:05:37+00:00,2016-06-08T20:52:05Z,2016-06-08 20:52:05+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/10,0.28226851851851853
cas,11,New Program,bryantal,User,closed,2016-06-08 14:58:37+00:00,2016-06-21T15:08:30Z,2016-06-08 15:44:50+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/11,0.032094907407407405
cas,12,New Division,bryantal,User,closed,2016-06-08 15:24:08+00:00,2016-06-21T15:09:03Z,2016-06-08 15:45:01+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/12,0.014502314814814815
cas,13,Repeating data,bryantal,User,closed,2016-06-08 17:08:00+00:00,2016-06-09T13:09:23Z,2016-06-09 13:09:23+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/13,0.8342939814814815
cas,14,Add Courses Form,bryantal,User,closed,2016-06-08 19:06:09+00:00,2016-06-10T14:55:23Z,2016-06-10 14:55:24+00:00,5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/14,1.8258680555555555
cas,15,Log Out,bryantal,User,closed,2016-06-08 19:08:28+00:00,2016-10-26T17:49:28Z,2016-10-26 17:49:28+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/15,139.9451388888889
cas,16,Cloud 9 wierdness,bryantal,User,closed,2016-06-08 19:45:06+00:00,2016-06-08T20:56:32Z,2016-06-08 20:56:32+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/16,0.04960648148148148
cas,17,Partial Text,bryantal,User,closed,2016-06-09 18:01:18+00:00,2016-06-21T15:09:22Z,2016-06-09 20:37:40+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/17,0.10858796296296297
cas,18,Page not found,bryantal,User,closed,2016-06-09 18:06:31+00:00,2016-06-21T15:07:50Z,2016-06-21 15:07:50+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/18,11.875914351851852
cas,19,Unable to delete course,bryantal,User,closed,2016-06-09 18:14:26+00:00,2016-06-10T16:57:16Z,2016-06-10 16:57:16+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/19,0.946412037037037
cas,20,Capacity Check,bryantal,User,closed,2016-06-09 18:25:48+00:00,2016-06-21T15:07:25Z,2016-06-10 17:49:16+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/20,0.9746296296296296
cas,21,Current Term,bryantal,User,closed,2016-06-09 18:31:21+00:00,2016-06-13T14:26:33Z,2016-06-13 14:26:33+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/21,3.83
cas,22,Deadline Textbox,bryantal,User,closed,2016-06-09 18:46:47+00:00,2016-06-10T17:59:48Z,2016-06-10 17:59:48+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/22,0.9673726851851852
cas,23,Revoking own admin rights.,bryantal,User,closed,2016-06-09 18:49:50+00:00,2016-06-10T15:55:04Z,2016-06-10 15:55:04+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/23,0.8786342592592593
cas,24,User Test,bryantal,User,closed,2016-06-13 14:28:52+00:00,2016-06-14T13:31:48Z,2016-06-14 13:31:48+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/24,0.9603703703703703
cas,25,Making Cookies,bryantal,User,closed,2016-06-14 13:36:06+00:00,2016-06-14T17:34:46Z,2016-06-14 17:34:46+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/25,0.16574074074074074
cas,26,Multiple Prefixs,bryantal,User,closed,2016-06-14 13:51:43+00:00,2016-06-14T17:38:25Z,2016-06-14 17:38:25+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/26,0.15743055555555555
cas,27,Administration View,bryantal,User,closed,2016-06-14 13:55:57+00:00,2016-06-15T19:45:20Z,2016-06-15 19:45:20+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/27,1.2426273148148148
cas,28,Banner Data,bryantal,User,closed,2016-06-14 13:57:58+00:00,2016-07-27T17:09:05Z,2016-07-27 17:09:05+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/28,43.132719907407406
cas,29,Add An Alert,bryantal,User,closed,2016-06-14 14:05:42+00:00,2016-06-15T21:36:49Z,2016-06-15 21:36:49+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/29,1.313275462962963
cas,30,Disable Button,bryantal,User,closed,2016-06-14 14:07:00+00:00,2016-06-17T18:06:51Z,2016-06-17 18:06:51+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/30,3.1665625
cas,31,Change Button Color,bryantal,User,closed,2016-06-14 14:08:13+00:00,2016-06-14T17:36:56Z,2016-06-14 17:36:56+00:00,0,https://github.com/BCStudentSoftwareDevTeam/cas/issues/31,0.14494212962962963
cas,32,Add Header,bryantal,User,closed,2016-06-14 14:09:19+00:00,2016-06-14T19:36:29Z,2016-06-14 19:36:29+00:00,5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/32,0.22719907407407408
cas,33,Side Bar,bryantal,User,closed,2016-06-14 14:10:44+00:00,2016-06-15T20:35:20Z,2016-06-15 20:35:20+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/33,1.2670833333333333
cas,34,Add Styling,bryantal,User,closed,2016-06-14 14:11:48+00:00,2016-06-21T15:07:07Z,2016-06-17 14:18:31+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/34,3.0046643518518517
cas,35,Term Management,bryantal,User,closed,2016-06-14 14:14:14+00:00,2016-06-15T17:12:39Z,2016-06-15 17:12:39+00:00,5,https://github.com/BCStudentSoftwareDevTeam/cas/issues/35,1.123900462962963
cas,36,Administrative User Management,bryantal,User,closed,2016-06-15 12:55:01+00:00,2016-06-21T15:06:49Z,2016-06-17 18:23:47+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/36,2.228310185185185
cas,37,Removing Administrative Users,bryantal,User,closed,2016-06-15 13:38:27+00:00,2016-06-21T15:06:33Z,2016-06-15 16:18:29+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/37,0.11113425925925927
cas,38,Edit Modal,bryantal,User,closed,2016-06-15 14:34:33+00:00,2016-06-21T15:06:15Z,2016-06-16 13:33:37+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/38,0.9576851851851852
cas,39,No way to track current semester,bryantal,User,closed,2016-06-15 20:35:00+00:00,2016-06-21T15:05:44Z,2016-06-16 12:24:16+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/39,0.659212962962963
cas,40,Incorrect Log data,bryantal,User,closed,2016-06-16 13:17:14+00:00,2016-06-21T15:05:24Z,2016-06-16 13:32:14+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/40,0.010416666666666666
cas,41,Toggle button,bryantal,User,closed,2016-06-20 15:53:10+00:00,2016-06-21T15:44:27Z,2016-06-21 15:44:27+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/41,0.9939467592592592
cas,42,Side Bar,bryantal,User,closed,2016-06-20 15:55:51+00:00,2016-06-21T16:12:29Z,2016-06-21 16:12:29+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/42,1.0115509259259259
cas,43,Side Bar Term,bryantal,User,closed,2016-06-20 15:58:11+00:00,2016-06-21T16:11:38Z,2016-06-21 15:54:19+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/43,0.9973148148148148
cas,44,Change Navbar,bryantal,User,closed,2016-06-20 19:51:50+00:00,2016-06-21T19:17:52Z,2016-06-21 19:17:52+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/44,0.976412037037037
cas,45,View Cross Listed,bryantal,User,closed,2016-06-20 20:03:18+00:00,2017-09-11T15:16:05Z,2017-09-11 15:16:05+00:00,8,https://github.com/BCStudentSoftwareDevTeam/cas/issues/45,447.8005439814815
cas,46,Schedule and Room Conflicts,bryantal,User,closed,2016-06-20 20:19:30+00:00,2016-06-29T17:22:24Z,2016-06-28 20:27:19+00:00,6,https://github.com/BCStudentSoftwareDevTeam/cas/issues/46,8.005428240740741
cas,47,Room Data,bryantal,User,closed,2016-06-20 20:28:33+00:00,2016-06-21T15:04:13Z,2016-06-21 14:54:22+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/47,0.7679282407407407
cas,48,Course Database,bryantal,User,closed,2016-06-21 14:55:58+00:00,2016-06-21T15:12:22Z,2016-06-21 15:12:22+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/48,0.01138888888888889
cas,49,Add Course Form,bryantal,User,closed,2016-06-21 14:58:26+00:00,2016-06-29T17:22:40Z,2016-06-28 20:26:36+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/49,7.227893518518519
cas,50,url issues,bryantal,User,closed,2016-06-21 20:59:06+00:00,2016-06-29T17:23:00Z,2016-06-28 15:51:26+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/50,6.786342592592592
cas,51,Change Tracker,bryantal,User,closed,2016-06-28 20:28:12+00:00,2016-06-29T17:23:25Z,2016-06-29 16:01:39+00:00,2,https://github.com/BCStudentSoftwareDevTeam/cas/issues/51,0.8148958333333334
cas,52,The Program Sidebar,bryantal,User,closed,2016-06-29 16:05:38+00:00,2016-07-12T16:05:27Z,2016-07-12 16:05:27+00:00,3,https://github.com/BCStudentSoftwareDevTeam/cas/issues/52,12.999872685185185
cas,53,Course Management Sidebar,bryantal,User,closed,2016-06-29 16:06:35+00:00,2016-07-01T19:02:22Z,2016-06-29 17:33:33+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/53,0.06039351851851852
cas,54,Term Management,bryantal,User,closed,2016-06-29 16:08:34+00:00,2016-06-29T17:32:27Z,2016-06-29 17:32:27+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/54,0.05825231481481481
cas,55,Edit Modal (new features),bryantal,User,closed,2016-06-29 17:21:44+00:00,2016-07-14T16:34:49Z,2016-07-14 16:34:49+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/55,14.967418981481481
cas,56,schedule_id = null,bryantal,User,closed,2016-06-29 19:00:17+00:00,2016-07-01T19:03:06Z,2016-07-01 19:01:37+00:00,1,https://github.com/BCStudentSoftwareDevTeam/cas/issues/56,2.0009259259259258
cas,57,Room Select,bryantal,User,closed,2016-06-30 14:07:22+00:00,2021-10-04T13:41:05Z,2021-10-04 13:41:05+00:00,4,https://github.com/BCStudentSoftwareDevTeam/cas/issues/57,1921.9817476851852
