repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
cas,386,added min='0',zachneill,User,closed,False,2021-06-02 15:01:18+00:00,2021-06-03T13:10:40Z,2021-06-02 15:01:29+00:00,,False,,,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/386,,,True,False
cas,387,Fixes issue 361 Room Capacity Number Input Allows Negative Values,zachneill,User,closed,False,2021-06-02 15:06:33+00:00,2021-06-03T13:10:40Z,2021-06-03 13:10:26+00:00,2021-06-03 13:10:26+00:00,True,,,1,1,1,1,1,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/387,22.064722222222223,0.9193634259259259,False,True
cas,388,centered submit button,tylerpar99,User,closed,False,2021-06-02 15:26:05+00:00,2021-06-03T13:12:36Z,2021-06-03 13:08:10+00:00,2021-06-03 13:08:09+00:00,True,,,4,4,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/388,21.70111111111111,0.9042129629629629,False,True
cas,389,removed jinja conditional that checks for approved_special_topics,Sandesh-L,User,closed,False,2021-06-02 21:08:57+00:00,2021-06-03T13:12:26Z,2021-06-03 13:06:42+00:00,2021-06-03 13:06:42+00:00,True,,,0,2,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/389,15.9625,0.6651041666666667,False,True
cas,391,CAS #358: Wording When Scheduling a Course,sreynit02,User,closed,False,2021-06-03 16:20:07+00:00,2021-09-17T15:27:24Z,2021-09-17 15:27:18+00:00,2021-09-17 15:27:18+00:00,True,,,3,1,1,2,0,1,https://github.com/BCStudentSoftwareDevTeam/cas/pull/391,2543.119722222222,105.96332175925926,False,True
cas,392,changed footer class in css and added navbar-fixed-bottom to footer.html,zachneill,User,closed,False,2021-06-04 13:46:21+00:00,2021-06-10T13:06:05Z,2021-06-10 13:06:02+00:00,2021-06-10 13:06:02+00:00,True,,,2,2,2,1,1,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/392,143.32805555555555,5.972002314814815,False,True
cas,394,Added an option to credit load for edit special topics for admin,Sandesh-L,User,closed,False,2021-06-04 15:02:18+00:00,2021-09-17T15:25:06Z,2021-09-17 15:25:03+00:00,2021-09-17 15:25:03+00:00,True,,,3,0,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/394,2520.3791666666666,105.01579861111111,False,True
cas,395,Cross listed course,gastonjarju,User,closed,False,2021-06-04 19:14:23+00:00,2021-09-17T15:24:11Z,2021-09-17 15:24:09+00:00,2021-09-17 15:24:09+00:00,True,,,5,1,2,6,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/395,2516.1627777777776,104.84011574074073,False,True
cas,396,Handling cancel image upload 373,zachneill,User,closed,False,2021-06-07 16:35:04+00:00,2022-02-24T16:27:37Z,2022-02-24 16:27:34+00:00,2022-02-24 16:27:34+00:00,True,,,4,10,4,8,2,1,https://github.com/BCStudentSoftwareDevTeam/cas/pull/396,6287.875,261.9947916666667,False,True
cas,397,Properly routing custom error pages.,tylerpar99,User,closed,False,2021-06-07 20:03:10+00:00,2021-09-17T15:21:11Z,2021-09-17 15:20:10+00:00,2021-09-17 15:20:10+00:00,True,,,29,22,7,2,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/397,2443.2833333333333,101.80347222222223,False,True
cas,398,Added closing table tag and fixed line break,zachneill,User,closed,False,2021-06-07 21:37:27+00:00,2021-09-17T15:18:49Z,2021-09-17 15:18:44+00:00,2021-09-17 15:18:44+00:00,True,,,4,4,1,1,1,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/398,2441.6880555555554,101.7370023148148,False,True
cas,399,CAS Issue #362 Modal on top of the modal,Karina-Agliullova,User,closed,False,2021-06-08 18:49:59+00:00,2021-09-17T15:34:39Z,2021-09-17 15:34:36+00:00,2021-09-17 15:34:36+00:00,True,,,28,22,1,6,0,0,https://github.com/BCStudentSoftwareDevTeam/cas/pull/399,2420.743611111111,100.86431712962963,False,True
