user,commits,prs_opened,own_prs_merged,teammate_prs_merged,issues_opened,conversation_comments,review_comments,reviews,approvals,repositories,repository_count,total_activity
AndersonStettner,1049,132,113,52,264,280,262,283,61,celts,1,2322
bledsoef,620,69,58,24,86,201,305,132,27,celts,1,1437
Karina-Agliullova,218,32,22,24,92,195,129,179,43,celts,1,869
hoerstl,277,22,20,0,6,31,194,51,2,celts,1,581
MImran2002,208,24,16,30,48,48,74,116,38,celts,1,548
andersoncedu,280,14,13,1,8,40,93,90,2,celts,1,526
ojmakinde,248,27,21,2,7,40,59,59,4,celts,1,442
sreynit02,212,22,18,6,4,24,73,92,12,celts,1,433
Boorclark,145,47,44,0,20,71,71,72,0,celts,1,426
stevensonmichel,208,14,12,2,6,20,81,82,2,celts,1,413
zachneill,203,18,14,0,3,17,77,52,0,celts,1,370
bakobagassas,164,20,14,3,13,24,20,43,6,celts,1,287
bryantal,51,3,3,4,95,93,16,25,9,celts,1,287
qasema,173,21,18,1,2,24,20,43,3,celts,1,284
Kafui123,155,9,7,0,0,5,51,52,0,celts,1,272
mupotsal,142,11,9,0,1,12,51,51,0,celts,1,268
None,253,0,0,0,0,0,0,0,0,celts,1,253
JohnCox2211,124,10,8,3,4,28,31,50,6,celts,1,250
WackyWeaver,100,11,10,4,15,25,47,36,5,celts,1,238
Sandesh-L,110,5,5,0,10,6,38,38,0,celts,1,207
martinj2-dot,160,10,9,2,3,9,10,13,2,celts,1,207
gahimbaref,122,19,14,2,3,20,11,19,6,celts,1,196
tylerpar99,85,15,14,7,11,16,16,29,10,celts,1,179
hmanalai,90,22,22,0,3,16,31,15,0,celts,1,177
vungc,136,10,8,0,9,17,0,3,0,celts,1,175
Meatchema,74,8,5,1,0,20,23,31,2,celts,1,157
azabeli,98,15,8,1,4,11,13,12,1,celts,1,154
BesherKitaz,82,7,6,0,1,12,22,22,0,celts,1,146
thawpt,100,23,17,0,0,2,6,6,0,celts,1,137
Luis Riera,128,0,0,0,0,0,0,0,0,celts,1,128
mohamudm1,84,24,19,0,4,8,2,2,0,celts,1,124
Gaston Jarju,123,0,0,0,0,0,0,0,0,celts,1,123
sheggen,69,4,2,6,2,9,12,19,7,celts,1,121
Arohasina,82,8,5,1,0,3,10,15,1,celts,1,119
doucoureb,82,9,8,0,1,11,5,4,0,celts,1,112
Mercy-Eze,89,5,5,0,0,5,3,3,0,celts,1,105
dixita9,87,3,2,0,1,1,4,4,0,celts,1,100
Ebenezer997,41,7,7,0,2,3,20,19,0,celts,1,92
eunsungw,46,7,4,0,2,9,11,11,0,celts,1,86
adjagbodjouf,55,10,7,0,1,2,5,5,0,celts,1,78
Jonimz,45,4,3,1,0,2,12,12,0,celts,1,76
jjijon7000,57,4,4,0,2,1,5,7,0,celts,1,76
gastonjarju,0,12,10,0,4,4,27,27,0,celts,1,74
Lyisus,1,6,5,1,4,5,25,26,1,celts,1,68
Jsmi8334,47,4,3,0,12,1,1,1,0,celts,1,66
brightfietsop-ux,40,1,1,0,0,4,8,12,2,celts,1,65
michelmonc,55,4,4,0,0,5,0,0,0,celts,1,64
GalinaP7,44,4,4,0,3,2,7,3,0,celts,1,63
seedyjahateh,17,7,3,0,0,7,15,15,0,celts,1,61
solijonovam,33,7,5,0,3,2,2,11,2,celts,1,58
nartehi,43,8,5,0,1,3,1,1,0,celts,1,57
RueHaile,25,3,2,1,1,15,5,6,0,celts,1,56
dea,54,0,0,0,0,0,0,0,0,celts,1,54
Tyler Parton,52,0,0,0,0,0,0,0,0,celts,1,52
petrosyantsa,21,4,2,0,0,1,10,10,0,celts,1,46
ACBerea,33,4,4,0,0,0,3,5,1,celts,1,45
PuskarC,23,9,8,0,1,0,6,6,0,celts,1,45
Ndiayem14,11,7,2,0,1,12,6,6,0,celts,1,43
