user,commits,prs_opened,own_prs_merged,teammate_prs_merged,issues_opened,conversation_comments,review_comments,reviews,approvals,repositories,repository_count,total_activity
bryantal,44,8,1,0,333,581,0,0,0,lsf,1,966
MImran2002,66,5,3,18,25,27,303,113,20,lsf,1,557
Hila Manalai,472,0,0,0,0,0,0,0,0,lsf,1,472
GuillermoCruz32,298,0,0,0,0,0,0,0,0,lsf,1,298
elajamali,272,0,0,0,0,0,0,0,0,lsf,1,272
AndersonStettner,126,4,4,8,10,38,24,44,12,lsf,1,254
Kat Adams & Bria Williams,170,0,0,0,0,0,0,0,0,lsf,1,170
hoerstl,76,5,3,1,2,10,50,19,4,lsf,1,163
romano-w,163,0,0,0,0,0,0,0,0,lsf,1,163
sheggen,148,0,0,0,7,3,0,0,0,lsf,1,158
tylerpar99,116,5,3,1,0,13,5,7,3,lsf,1,147
bledsoef,89,11,9,1,14,14,9,7,1,lsf,1,145
JohnCox2211,81,7,7,0,2,22,11,17,2,lsf,1,140
Luis Riera,131,0,0,0,0,0,0,0,0,lsf,1,131
BriaW,129,0,0,0,0,0,0,0,0,lsf,1,129
Alex Bryant,128,0,0,0,0,0,0,0,0,lsf,1,128
BhushanSah,9,10,5,0,1,11,56,15,2,lsf,1,102
ojmakinde,50,6,4,0,6,2,25,13,0,lsf,1,102
Karina-Agliullova,41,3,2,1,29,16,1,5,4,lsf,1,96
sreynit02,58,4,3,3,0,8,2,12,6,lsf,1,87
RueHaile,35,5,2,0,0,21,8,6,1,lsf,1,75
Elaheh Jamali,67,0,0,0,0,0,0,0,0,lsf,1,67
escalerapadronl,65,0,0,0,0,0,0,0,0,lsf,1,65
Bekzodjon Rakhimov,64,0,0,0,0,0,0,0,0,lsf,1,64
BesherKitaz,17,3,2,0,2,3,18,18,0,lsf,1,61
fritzj2,4,5,3,0,1,4,24,23,4,lsf,1,61
andersoncedu,28,3,3,0,0,10,10,9,0,lsf,1,60
May,58,0,0,0,0,0,0,0,0,lsf,1,58
Kafui123,19,2,1,0,2,6,14,14,0,lsf,1,57
Sreynit Khatt,57,0,0,0,0,0,0,0,0,lsf,1,57
WackyWeaver,38,3,3,0,4,5,2,2,0,lsf,1,54
santoshernandezr,54,0,0,0,0,0,0,0,0,lsf,1,54
ovezovs,44,0,0,0,0,0,0,0,0,lsf,1,44
None,43,0,0,0,0,0,0,0,0,lsf,1,43
mupotsal,40,0,0,0,0,0,0,0,0,lsf,1,40
stevensonmichel,9,1,1,1,0,10,10,9,2,lsf,1,40
conwelld,0,9,5,0,1,11,8,9,1,lsf,1,38
Jamaliela,37,0,0,0,0,0,0,0,0,lsf,1,37
BetterRocket,5,4,4,0,0,4,12,10,0,lsf,1,35
bakobagassas,2,1,0,1,4,4,11,11,2,lsf,1,34
GalinaP7,15,3,3,0,1,1,6,6,0,lsf,1,32
Arohasina,7,1,0,2,1,1,7,12,3,lsf,1,31
phuyalb16,29,0,0,0,0,0,0,0,0,lsf,1,29
Guillermo Cruz,28,0,0,0,0,0,0,0,0,lsf,1,28
brightfietsop-ux,2,2,1,0,0,0,10,12,1,lsf,1,26
Meatchema,11,2,1,0,1,7,0,2,1,lsf,1,23
ArtemKurasov,2,5,2,0,1,1,6,7,1,lsf,1,22
May Jue,22,0,0,0,0,0,0,0,0,lsf,1,22
OtienoAnne,22,0,0,0,0,0,0,0,0,lsf,1,22
jamal Aw Yonis,22,0,0,0,0,0,0,0,0,lsf,1,22
NYABUTOA,1,5,1,0,1,2,5,5,0,lsf,1,19
gahimbaref,1,2,1,0,0,3,3,4,1,lsf,1,13
solijonovam,0,4,4,0,1,4,1,3,0,lsf,1,13
ACBerea,8,4,2,0,0,0,0,0,0,lsf,1,12
Jonimz,11,1,1,0,0,0,0,0,0,lsf,1,12
nahom70,0,7,4,0,0,3,1,1,0,lsf,1,12
DanielRukwasha,0,4,0,0,1,4,1,1,0,lsf,1,11
mathew2005,4,2,1,0,0,1,1,1,0,lsf,1,9
qasema,0,0,0,0,0,1,3,5,2,lsf,1,9
Madina Solijonova,8,0,0,0,0,0,0,0,0,lsf,1,8
doucoureb,2,1,1,0,0,2,1,1,0,lsf,1,7
jjijon7000,3,3,1,0,1,0,0,0,0,lsf,1,7
martinj2-dot,2,1,1,0,1,2,0,1,1,lsf,1,7
Jsmi8334,2,1,1,0,3,0,0,0,0,lsf,1,6
eunsungw,2,0,0,0,0,2,0,1,0,lsf,1,5
johnlolonga19,1,1,0,1,0,0,1,1,0,lsf,1,5
wgs1862019,5,0,0,0,0,0,0,0,0,lsf,1,5
ali-ramazani,0,2,1,0,0,2,0,0,0,lsf,1,4
root,4,0,0,0,0,0,0,0,0,lsf,1,4
