repo,id,author,author_type,created_at,updated_at,issue_url,html_url
lsf,1140062599,bryantal,User,2019-07-08T19:50:01Z,2022-05-27T21:49:06Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/21,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/21#issuecomment-1140062599
lsf,1140062902,bryantal,User,2019-07-08T20:10:09Z,2022-05-27T21:49:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/37,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/37#issuecomment-1140062902
lsf,1140062375,bryantal,User,2019-07-10T17:31:39Z,2022-05-27T21:48:34Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/10,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/10#issuecomment-1140062375
lsf,1140062977,bryantal,User,2019-07-10T18:41:25Z,2022-05-27T21:49:57Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/40,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/40#issuecomment-1140062977
lsf,1140062866,bryantal,User,2019-07-10T18:46:33Z,2022-05-27T21:49:43Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/35,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/35#issuecomment-1140062866
lsf,1140062924,bryantal,User,2019-07-10T18:58:11Z,2022-05-27T21:49:50Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/38,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/38#issuecomment-1140062924
lsf,1140062842,bryantal,User,2019-07-10T19:21:17Z,2022-05-27T21:49:40Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/34,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/34#issuecomment-1140062842
lsf,1140062802,bryantal,User,2019-07-10T19:27:33Z,2022-05-27T21:49:34Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/32,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/32#issuecomment-1140062802
lsf,1140062759,bryantal,User,2019-07-10T19:48:48Z,2022-05-27T21:49:29Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/30,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/30#issuecomment-1140062759
lsf,1140062822,bryantal,User,2019-07-10T19:56:45Z,2022-05-27T21:49:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/33,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/33#issuecomment-1140062822
lsf,1140062904,bryantal,User,2019-07-10T20:21:04Z,2022-05-27T21:49:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/37,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/37#issuecomment-1140062904
lsf,1140062947,bryantal,User,2019-07-10T20:31:44Z,2022-05-27T21:49:53Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/39,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/39#issuecomment-1140062947
lsf,1140062600,bryantal,User,2019-07-16T15:52:10Z,2022-05-27T21:49:06Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/21,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/21#issuecomment-1140062600
lsf,1140062581,bryantal,User,2019-07-16T15:54:26Z,2022-05-27T21:49:03Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/20,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/20#issuecomment-1140062581
lsf,1140062512,bryantal,User,2019-07-16T15:56:46Z,2022-05-27T21:48:54Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/16,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/16#issuecomment-1140062512
lsf,1140062527,bryantal,User,2019-07-16T15:57:24Z,2022-05-27T21:48:56Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/17,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/17#issuecomment-1140062527
lsf,1140062677,bryantal,User,2019-07-17T20:07:01Z,2022-05-27T21:49:16Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/25,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/25#issuecomment-1140062677
lsf,1140062703,bryantal,User,2019-07-17T20:07:52Z,2022-05-27T21:49:21Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/27,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/27#issuecomment-1140062703
lsf,1140062714,bryantal,User,2019-07-17T20:09:07Z,2022-05-27T21:49:23Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/lsf/issues/28,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/28#issuecomment-1140062714
