repo,number,title,author,author_type,state,created_at,updated_at,closed_at,comments_count,html_url,days_to_close
lsf,2,Editable fields when modifying an existing form,bryantal,User,closed,2019-06-26 17:10:07+00:00,2019-07-17T20:19:08Z,2019-07-17 20:19:08+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/2,21.131261574074074
lsf,3,Footer rework,bryantal,User,closed,2019-06-26 17:12:08+00:00,2019-07-17T20:18:53Z,2019-07-17 20:18:53+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/3,21.1296875
lsf,4,Adding and Admin needs validation,bryantal,User,closed,2019-06-26 17:15:13+00:00,2019-07-18T15:11:00Z,2019-07-18 15:11:00+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/4,21.913738425925924
lsf,5,Flagging departments that are out of compliance,bryantal,User,closed,2019-06-26 17:18:17+00:00,2019-08-22T18:14:48Z,2019-08-22 18:14:48+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/5,57.03924768518519
lsf,6,Past forms loading,bryantal,User,closed,2019-06-26 17:19:55+00:00,2019-07-17T20:17:06Z,2019-07-17 20:17:06+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/6,21.12304398148148
lsf,7,Add end date for breaks,bryantal,User,closed,2019-06-26 17:21:08+00:00,2019-07-17T20:16:44Z,2019-07-17 20:16:44+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/7,21.121944444444445
lsf,8,Allow admins to elect a start/end date for break terms,bryantal,User,closed,2019-06-26 17:23:55+00:00,2019-07-17T20:19:55Z,2019-07-17 20:19:55+00:00,1,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/8,21.122222222222224
lsf,9,Adding a Download All button,bryantal,User,closed,2019-06-26 17:28:47+00:00,2019-09-10T19:57:37Z,2019-09-10 19:57:37+00:00,4,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/9,76.10335648148148
lsf,10,Add term on release forms,bryantal,User,closed,2019-06-26 17:32:49+00:00,2019-07-17T20:16:29Z,2019-07-17 20:16:29+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/10,21.11365740740741
lsf,11,Labor Status Forms: prevent submitters from choosing certain WLS levels,bryantal,User,closed,2019-06-26 17:38:34+00:00,2020-01-27T18:36:04Z,2020-01-27 18:36:04+00:00,8,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/11,215.03993055555554
lsf,12,Labor History: Disable adjustments to WLS level during certain date ranges,bryantal,User,closed,2019-06-26 17:42:50+00:00,2020-05-15T14:42:03Z,2020-05-15 14:42:03+00:00,2,https://github.com/BCStudentSoftwareDevTeam/lsf/issues/12,323.8744560185185
