repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
lsf,334,Test Form Creation and Approval Process - IN PROCESS,bryantal,User,closed,False,2022-05-31 17:01:03+00:00,2025-08-19T12:29:01Z,2025-08-19 12:28:57+00:00,,False,,,278,0,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/334,,,True,False
lsf,335,Position Description Interface,bryantal,User,open,False,2022-05-31 17:06:09+00:00,2026-07-01T15:25:02Z,,,False,,,1655,94,30,59,0,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/335,,,False,False
lsf,336,Labor Admin Overload Visibility #issue306,bryantal,User,closed,False,2022-05-31 17:07:13+00:00,2022-08-03T14:12:09Z,2022-08-03 14:12:04+00:00,2022-08-03 14:12:04+00:00,True,,,57,26,5,5,9,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/336,1533.0808333333334,63.87836805555556,False,True
lsf,337,Overload Process Test Suites (#issue305),bryantal,User,open,False,2022-05-31 17:19:17+00:00,2026-07-01T15:25:03Z,,,False,,,135,1,2,12,0,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/337,,,False,False
lsf,338,Format fin aid overload issue#321 NOT FINISHED! NEEDS A REVIEW,bryantal,User,closed,False,2022-05-31 17:20:20+00:00,2025-08-19T12:31:52Z,2025-08-19 12:31:52+00:00,,False,,,105,48,3,2,0,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/338,,,True,False
lsf,339,Pull Spring and Fall terms out of the Term select - IN PROCESS,bryantal,User,closed,False,2022-05-31 17:21:16+00:00,2025-08-18T20:47:48Z,2025-08-18 20:47:44+00:00,,False,,,196,112,5,9,1,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/339,,,True,False
lsf,340,Fixes My Current Students page to go to right place,bryantal,User,closed,False,2022-05-31 17:22:03+00:00,2023-04-26T12:52:29Z,2023-04-26 12:52:29+00:00,,False,,,17,19,3,1,1,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/340,,,True,False
lsf,341,Add dates to primary checks,bryantal,User,closed,False,2022-05-31 17:23:01+00:00,2025-08-19T12:28:00Z,2025-08-19 12:27:55+00:00,,False,,,265,678,11,18,1,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/341,,,True,False
lsf,360,Added Start Date and End Date on Labor History Modal,sreynit02,User,closed,False,2022-08-24 21:10:24+00:00,2022-08-25T14:32:23Z,2022-08-25 14:32:01+00:00,2022-08-25 14:32:01+00:00,True,,,7,1,1,2,0,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/360,17.360277777777778,0.7233449074074074,False,True
lsf,361,Show pending form on student labor history page,thawpt,User,closed,False,2022-08-25 20:10:47+00:00,2022-09-16T12:02:25Z,2022-09-16 12:02:15+00:00,2022-09-16 12:02:15+00:00,True,tylerpar99,User,2,1,2,2,0,0,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/361,519.8577777777778,21.66074074074074,False,True
