repo,id,pr_number,author,author_type,state,submitted_at,html_url
lsf,1066734976,343,AndersonStettner,User,APPROVED,2022-08-09T13:34:04Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/343#pullrequestreview-1066734976
lsf,1110572357,361,tylerpar99,User,APPROVED,2022-09-16T11:59:55Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/361#pullrequestreview-1110572357
lsf,1107568568,367,tylerpar99,User,CHANGES_REQUESTED,2022-09-14T14:15:28Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1107568568
lsf,1110700937,367,bledsoef,User,DISMISSED,2022-09-16T13:38:26Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1110700937
lsf,1111108119,367,tylerpar99,User,APPROVED,2022-09-16T19:03:53Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1111108119
lsf,1162449473,367,AndersonStettner,User,COMMENTED,2022-10-31T19:45:32Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1162449473
lsf,1175960938,367,AndersonStettner,User,CHANGES_REQUESTED,2022-11-10T15:09:39Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1175960938
lsf,1177746962,367,AndersonStettner,User,CHANGES_REQUESTED,2022-11-11T18:49:10Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1177746962
lsf,1186615379,367,AndersonStettner,User,CHANGES_REQUESTED,2022-11-18T18:42:59Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1186615379
lsf,1186859516,367,gahimbaref,User,APPROVED,2022-11-18T21:58:49Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/367#pullrequestreview-1186859516
lsf,1123847643,383,AndersonStettner,User,CHANGES_REQUESTED,2022-09-28T14:51:26Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/383#pullrequestreview-1123847643
lsf,1127212842,383,AndersonStettner,User,CHANGES_REQUESTED,2022-09-30T18:30:44Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/383#pullrequestreview-1127212842
lsf,1131514127,383,AndersonStettner,User,APPROVED,2022-10-05T14:18:24Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/383#pullrequestreview-1131514127
lsf,1118991718,384,sreynit02,User,APPROVED,2022-09-23T20:05:38Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/384#pullrequestreview-1118991718
lsf,1160432484,386,AndersonStettner,User,CHANGES_REQUESTED,2022-10-28T17:56:52Z,https://github.com/BCStudentSoftwareDevTeam/lsf/pull/386#pullrequestreview-1160432484
