repo,sha,author,author_type,committer,date,message,html_url
bcsr,7500a2e18a729162d1d2fb56d11311a494ba6535,bakobagassas,User,bakobagassas,2026-04-13T18:02:04Z,removed extra flash message,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/7500a2e18a729162d1d2fb56d11311a494ba6535
bcsr,b1bd08642260f3a93e9bd6a2e967cfd367bb8b0d,bakobagassas,User,bakobagassas,2026-04-13T16:08:01Z,Make setup.sh executable,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/b1bd08642260f3a93e9bd6a2e967cfd367bb8b0d
bcsr,19272e52949323f38bb506c97cb03ca03b455b24,bakobagassas,User,bakobagassas,2026-04-09T18:44:32Z,cleaning up,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/19272e52949323f38bb506c97cb03ca03b455b24
bcsr,9e56894ad572f01ae5aaf675b929639448d5608f,bakobagassas,User,bakobagassas,2026-04-09T18:30:08Z,Added another message for when both fields are empty,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/9e56894ad572f01ae5aaf675b929639448d5608f
bcsr,5ef286c80dc00be9775161bc4fee2be73751cd72,bakobagassas,User,bakobagassas,2026-04-07T21:09:16Z,reverting,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/5ef286c80dc00be9775161bc4fee2be73751cd72
bcsr,a4e3c038e1777d10db21f907a29173f4f2490b11,bakobagassas,User,bakobagassas,2026-04-07T21:03:13Z,Matched the tab to the existing tabs,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/a4e3c038e1777d10db21f907a29173f4f2490b11
bcsr,9246f11963a4c8a40b0383c1b1a86b9748ea30bc,bakobagassas,User,bakobagassas,2026-04-07T21:02:47Z,query and flash message,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/9246f11963a4c8a40b0383c1b1a86b9748ea30bc
bcsr,ca75ee8935c2b3dcd0dc4adbadda0231ccd03379,bakobagassas,User,bakobagassas,2026-03-05T16:56:47Z,config,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/ca75ee8935c2b3dcd0dc4adbadda0231ccd03379
bcsr,30a112c8f3bab7fb1e30d37893218a87049fee1f,bakobagassas,User,bakobagassas,2026-03-05T16:28:15Z,added to the sidebar,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/30a112c8f3bab7fb1e30d37893218a87049fee1f
bcsr,fd25bd80a712ca014af5d1fc784d8f3120b1ea53,bakobagassas,User,bakobagassas,2026-03-05T16:27:47Z,routes,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/fd25bd80a712ca014af5d1fc784d8f3120b1ea53
bcsr,ff3bbacaf369b0b6c372b917a56e281724029432,bakobagassas,User,bakobagassas,2026-03-05T16:25:46Z,new html file for search,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/ff3bbacaf369b0b6c372b917a56e281724029432
bcsr,21b7d447df639b7bf8ca18d5d0043b4abd48b0b2,bakobagassas,User,bakobagassas,2026-03-05T15:43:12Z,setting up,https://github.com/BCStudentSoftwareDevTeam/bcsr/commit/21b7d447df639b7bf8ca18d5d0043b4abd48b0b2
