user,commits,prs_opened,own_prs_merged,teammate_prs_merged,issues_opened,conversation_comments,review_comments,reviews,approvals,repositories,repository_count,total_activity
AndersonStettner,1180,138,118,60,276,323,286,327,73,"bcsr, cas, celts, lsf, urcpp",5,2590
bryantal,107,11,4,4,886,1442,20,37,16,"bcsr, cas, celts, lsf, urcpp",5,2507
bledsoef,709,80,67,25,100,216,314,139,28,"celts, lsf, urcpp",3,1583
MImran2002,274,30,19,48,98,75,388,239,59,"bcsr, celts, lsf",3,1152
Karina-Agliullova,260,37,26,25,122,214,130,184,47,"cas, celts, lsf",3,972
hoerstl,367,30,26,1,10,45,244,70,6,"cas, celts, lsf, urcpp",4,767
hmanalai,90,22,22,0,178,363,31,15,0,"celts, urcpp",2,699
sheggen,510,6,2,6,27,28,12,19,7,"bcsr, cas, celts, lsf, urcpp",5,608
andersoncedu,308,17,16,1,8,50,103,99,2,"celts, lsf",2,586
ojmakinde,298,33,25,2,13,43,84,72,4,"celts, lsf, urcpp",3,545
sreynit02,274,32,25,9,6,34,79,108,18,"bcsr, cas, celts, lsf, urcpp",5,542
Hila Manalai,538,0,0,0,0,0,0,0,0,"cas, celts, lsf",3,538
myersCody,487,0,0,0,0,0,0,0,0,"bcsr, cas",2,487
stevensonmichel,221,15,13,3,6,30,91,92,5,"cas, celts, lsf, urcpp",4,458
Boorclark,145,47,44,0,20,72,71,72,0,"celts, lsf",2,427
zachneill,222,26,21,0,6,22,77,52,0,"cas, celts",2,405
JohnCox2211,205,17,15,3,6,50,42,67,8,"celts, lsf",2,390
memo330179,353,0,0,0,0,0,0,0,0,"bcsr, cas, urcpp",3,353
bakobagassas,178,24,15,4,18,28,35,58,8,"bcsr, celts, lsf",3,345
Kafui123,174,11,8,0,2,11,67,68,0,"bcsr, celts, lsf",3,333
tylerpar99,202,24,20,8,11,30,21,36,13,"cas, celts, lsf",3,332
mupotsal,193,14,12,0,2,12,51,51,0,"cas, celts, lsf",3,323
None,317,0,0,0,0,0,0,0,0,"cas, celts, lsf",3,317
GuillermoCruz32,309,0,0,0,0,0,0,0,0,"bcsr, lsf",2,309
wgs1862019,309,0,0,0,0,0,0,0,0,"cas, lsf, urcpp",3,309
elajamali,304,0,0,0,0,0,0,0,0,"bcsr, lsf",2,304
qasema,173,21,18,1,2,25,23,48,5,"celts, lsf",2,293
WackyWeaver,138,14,13,4,19,30,49,38,5,"celts, lsf",2,292
Luis Riera,261,0,0,0,0,0,0,0,0,"cas, celts, lsf",3,261
Sandesh-L,110,7,7,0,14,12,38,38,0,"cas, celts",2,219
martinj2-dot,162,11,10,2,4,11,10,14,3,"celts, lsf",2,214
gahimbaref,123,21,15,2,3,23,14,23,7,"celts, lsf",2,209
BesherKitaz,99,10,8,0,3,15,40,40,0,"celts, lsf",2,207
Kat Adams & Bria Williams,205,0,0,0,0,0,0,0,0,"cas, lsf, urcpp",3,205
romano-w,188,3,3,0,5,3,0,0,0,"cas, celts, lsf",3,199
Meatchema,85,10,6,1,1,27,23,33,3,"celts, lsf",2,180
vungc,136,10,8,0,9,17,0,3,0,celts,1,175
azabeli,98,15,8,1,4,12,13,12,1,"celts, lsf",2,155
Arohasina,89,9,5,3,1,4,17,27,4,"celts, lsf",2,150
thawpt,102,24,18,0,0,2,6,6,0,"celts, lsf",2,140
BriaW,135,0,0,0,0,0,0,0,0,"lsf, urcpp",2,135
BhushanSah,29,17,11,0,1,12,56,19,4,"celts, lsf",2,134
RueHaile,60,8,4,1,1,36,13,12,1,"celts, lsf",2,131
Alex Bryant,130,0,0,0,0,0,0,0,0,"bcsr, lsf",2,130
mohamudm1,84,24,19,0,4,8,2,2,0,celts,1,124
Gaston Jarju,123,0,0,0,0,0,0,0,0,celts,1,123
awyoonis,122,0,0,0,0,0,0,0,0,cas,1,122
doucoureb,84,10,9,0,1,13,6,5,0,"celts, lsf",2,119
jadudm,109,0,0,0,0,0,0,0,0,urcpp,1,109
Mercy-Eze,89,5,5,0,0,5,3,3,0,celts,1,105
fritzj2,19,7,5,0,1,9,32,35,6,"celts, lsf",2,103
Sher Sanginov,102,0,0,0,0,0,0,0,0,"bcsr, cas, urcpp",3,102
dixita9,87,3,2,0,1,1,4,4,0,celts,1,100
GalinaP7,59,7,7,0,4,3,13,9,0,"celts, lsf",2,95
Ebenezer997,41,7,7,0,2,4,20,19,0,"cas, celts",2,93
brightfietsop-ux,42,3,2,0,0,4,18,24,3,"celts, lsf",2,91
eunsungw,48,7,4,0,2,11,11,12,0,"celts, lsf",2,91
Jonimz,56,5,4,1,0,2,12,12,0,"celts, lsf",2,88
jjijon7000,60,7,5,0,3,1,5,7,0,"celts, lsf",2,83
adjagbodjouf,55,10,7,0,1,4,5,5,0,"celts, lsf",2,80
escalerapadronl,74,0,0,0,2,2,0,0,0,"cas, celts, lsf",3,78
gastonjarju,1,13,11,0,5,5,27,27,0,"cas, celts",2,78
OtienoAnne,74,0,0,0,0,0,0,0,0,"cas, lsf",2,74
Jesson Soto Ventura,73,0,0,0,0,0,0,0,0,"cas, urcpp",2,73
Jsmi8334,49,5,4,0,15,1,1,1,0,"celts, lsf",2,72
nelsonkenny,71,0,0,0,0,0,0,0,0,cas,1,71
solijonovam,33,11,9,0,4,6,3,14,2,"celts, lsf",2,71
Lyisus,1,7,6,1,4,5,25,26,1,"celts, urcpp",2,69
johnsonwe,69,0,0,0,0,0,0,0,0,"bcsr, cas, urcpp",3,69
Cody Myers,67,0,0,0,0,0,0,0,0,"bcsr, cas, urcpp",3,67
Elaheh Jamali,67,0,0,0,0,0,0,0,0,lsf,1,67
May,67,0,0,0,0,0,0,0,0,"bcsr, lsf",2,67
Jamaliela,65,0,0,0,0,0,0,0,0,"bcsr, lsf, urcpp",3,65
Bekzodjon Rakhimov,64,0,0,0,0,0,0,0,0,lsf,1,64
michelmonc,55,4,4,0,0,5,0,0,0,celts,1,64
grrdsoto,62,0,0,0,0,0,0,0,0,"cas, lsf",2,62
ArtemKurasov,8,9,4,0,2,2,31,9,1,"bcsr, celts, lsf",3,61
seedyjahateh,17,7,3,0,0,7,15,15,0,celts,1,61
santoshernandezr,59,0,0,0,0,0,0,0,0,"bcsr, lsf",2,59
ACBerea,41,8,6,0,0,0,3,5,1,"celts, lsf",2,57
Sreynit Khatt,57,0,0,0,0,0,0,0,0,lsf,1,57
nartehi,43,8,5,0,1,3,1,1,0,celts,1,57
Aleksandra Cvetanovska,56,0,0,0,0,0,0,0,0,"cas, urcpp",2,56
Tyler Parton,54,0,0,0,0,0,0,0,0,"cas, celts",2,54
dea,54,0,0,0,0,0,0,0,0,celts,1,54
mathew2005,29,6,4,0,0,6,5,5,0,"celts, lsf",2,51
conwelld,7,12,7,0,2,11,8,9,1,"bcsr, celts, lsf",3,49
petrosyantsa,21,4,2,0,0,2,10,10,0,"celts, lsf",2,47
PuskarC,23,9,8,0,1,1,6,6,0,"celts, lsf",2,46
HaileyB0311,45,0,0,0,0,0,0,0,0,"bcsr, lsf, urcpp",3,45
ovezovs,44,0,0,0,0,0,0,0,0,lsf,1,44
BetterRocket,7,6,5,0,0,5,13,12,0,"celts, lsf",2,43
Ndiayem14,11,7,2,0,1,12,6,6,0,celts,1,43
ali-ramazani,3,18,9,0,8,14,0,0,0,"celts, lsf",2,43
phuyalb16,43,0,0,0,0,0,0,0,0,"cas, lsf",2,43
Josh Wakin,41,0,0,0,0,0,0,0,0,celts,1,41
agarwali,41,0,0,0,0,0,0,0,0,"cas, urcpp",2,41
DanielRukwasha,19,7,2,0,1,7,2,4,1,"celts, lsf",2,40
jamal Aw Yonis,40,0,0,0,0,0,0,0,0,"cas, lsf",2,40
Mbeweg,13,5,4,0,2,7,6,6,1,"celts, lsf",2,39
Sarah Watts,39,0,0,0,0,0,0,0,0,"bcsr, cas",2,39
Scott Heggen,37,0,0,0,0,0,0,0,0,"bcsr, cas",2,37
ramazanim,35,0,0,0,0,0,0,0,0,celts,1,35
munsakad,24,5,4,1,1,1,0,0,0,"celts, lsf",2,32
Jesson Soto,31,0,0,0,0,0,0,0,0,"cas, urcpp",2,31
MayJue,26,2,2,0,1,1,0,0,0,celts,1,30
Guillermo Cruz,28,0,0,0,0,0,0,0,0,lsf,1,28
May Jue,27,0,0,0,0,0,0,0,0,"bcsr, cas, celts, lsf",4,27
AravDe,13,6,4,0,1,0,3,3,0,celts,1,26
Gbayi,26,0,0,0,0,0,0,0,0,celts,1,26
NYABUTOA,5,6,2,0,2,2,5,6,0,"celts, lsf",2,26
thealphagurlux,3,5,3,0,2,9,3,4,1,celts,1,26
nahom70,8,10,7,0,0,4,1,2,1,"celts, lsf",2,25
Chauwaj,24,0,0,0,0,0,0,0,0,"cas, urcpp",2,24
Madina Solijonova,24,0,0,0,0,0,0,0,0,"celts, lsf",2,24
Shenderaz,12,4,3,0,1,3,2,2,0,celts,1,24
johnlolonga19,12,4,3,1,0,0,1,2,0,"celts, lsf",2,20
zhytkovd,10,5,3,0,0,0,0,1,0,"celts, lsf",2,16
Guillermo Ramos,15,0,0,0,0,0,0,0,0,"bcsr, cas, urcpp",3,15
Muhammad Hamza Khattak,15,0,0,0,0,0,0,0,0,cas,1,15
daizenj,6,5,3,0,1,3,0,0,0,"bcsr, celts",2,15
Ubuntu,13,0,0,0,0,0,0,0,0,urcpp,1,13
root,13,0,0,0,0,0,0,0,0,"bcsr, lsf, urcpp",3,13
Guillermo Ramos Macias,12,0,0,0,0,0,0,0,0,"bcsr, cas, urcpp",3,12
Jose Zindia,12,0,0,0,0,0,0,0,0,cas,1,12
nelsonke,10,0,0,0,0,0,0,0,0,cas,1,10
sanginovs,9,0,0,0,0,1,0,0,0,"bcsr, cas",2,10
Mahak1729,3,3,1,0,0,1,1,1,0,celts,1,9
vazquezsotoj,3,4,2,0,0,0,0,0,0,celts,1,7
Nicholas DeTore,6,0,0,0,0,0,0,0,0,cas,1,6
Bria Williams,5,0,0,0,0,0,0,0,0,"lsf, urcpp",2,5
Jamal Aw Yonis,5,0,0,0,0,0,0,0,0,cas,1,5
Sandesh Lamichhane,5,0,0,0,0,0,0,0,0,celts,1,5
armutlutost,0,5,0,0,0,0,0,0,0,bcsr,1,5
Finn Bledsoe,4,0,0,0,0,0,0,0,0,celts,1,4
josezindia,4,0,0,0,0,0,0,0,0,cas,1,4
tahmidefaz,4,0,0,0,0,0,0,0,0,cas,1,4
Anderson,3,0,0,0,0,0,0,0,0,celts,1,3
ananyabhat29,1,1,1,0,0,1,0,0,0,celts,1,3
audreymcraft,3,0,0,0,0,0,0,0,0,lsf,1,3
baobao1355,0,1,0,0,0,2,0,0,0,bcsr,1,3
fbledsoe,3,0,0,0,0,0,0,0,0,celts,1,3
zapataa0,0,1,0,0,0,0,1,1,0,bcsr,1,3
AbdouLayeCDiop,0,0,0,0,1,1,0,0,0,bcsr,1,2
Guillermo Ramos-Macias,2,0,0,0,0,0,0,0,0,"bcsr, cas",2,2
KafuiMark,0,0,0,0,0,0,1,1,0,celts,1,2
Shouryaverma19,0,0,0,0,0,2,0,0,0,celts,1,2
TruCoded,0,1,0,0,0,1,0,0,0,celts,1,2
chandansgowda,0,0,0,0,0,1,0,1,1,celts,1,2
shubhrai23,0,1,0,0,0,1,0,0,0,bcsr,1,2
Ali Ramazani,1,0,0,0,0,0,0,0,0,lsf,1,1
Anne Achieng,1,0,0,0,0,0,0,0,0,lsf,1,1
Anne Otieno,1,0,0,0,0,0,0,0,0,cas,1,1
