repo,id,author,author_type,created_at,updated_at,issue_url,html_url
bcsr,852160982,bryantal,User,2016-03-08T21:27:08Z,2021-06-01T14:14:43Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/1#issuecomment-852160982
bcsr,852161017,bryantal,User,2016-03-09T16:32:14Z,2021-06-01T14:14:47Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/2#issuecomment-852161017
bcsr,852161020,bryantal,User,2016-03-09T16:33:07Z,2021-06-01T14:14:47Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/2#issuecomment-852161020
bcsr,852161026,bryantal,User,2016-06-09T17:51:42Z,2021-06-01T14:14:47Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/2#issuecomment-852161026
bcsr,852160984,bryantal,User,2016-07-20T17:41:39Z,2021-06-01T14:14:43Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/1,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/1#issuecomment-852160984
bcsr,852161112,bryantal,User,2016-07-20T17:42:18Z,2021-06-01T14:14:54Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/4,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/4#issuecomment-852161112
bcsr,852161116,bryantal,User,2016-07-20T17:43:07Z,2021-06-01T14:14:54Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/4,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/4#issuecomment-852161116
bcsr,852161157,bryantal,User,2016-07-20T19:22:12Z,2021-06-01T14:14:57Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/5,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/5#issuecomment-852161157
bcsr,852161365,bryantal,User,2016-07-21T15:29:47Z,2021-06-01T14:15:14Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/9,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/9#issuecomment-852161365
bcsr,852161366,bryantal,User,2016-07-21T15:31:35Z,2021-06-01T14:15:14Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/9,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/9#issuecomment-852161366
bcsr,852161032,bryantal,User,2016-07-21T21:08:17Z,2021-06-01T14:14:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/2#issuecomment-852161032
bcsr,852161279,bryantal,User,2016-07-22T15:24:08Z,2021-06-01T14:15:07Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/7,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/7#issuecomment-852161279
bcsr,852161160,bryantal,User,2016-07-22T15:24:41Z,2021-06-01T14:14:58Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/5,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/5#issuecomment-852161160
bcsr,852161369,bryantal,User,2016-07-22T15:25:08Z,2021-06-01T14:15:14Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/9,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/9#issuecomment-852161369
bcsr,852161036,bryantal,User,2016-07-22T15:26:50Z,2021-06-01T14:14:48Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/2,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/2#issuecomment-852161036
bcsr,852161118,bryantal,User,2016-07-22T15:27:04Z,2021-06-01T14:14:54Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/4,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/4#issuecomment-852161118
bcsr,852161321,bryantal,User,2016-07-22T15:28:18Z,2021-06-01T14:15:11Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/8,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/8#issuecomment-852161321
bcsr,852161282,bryantal,User,2016-07-26T13:54:03Z,2021-06-01T14:15:08Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/7,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/7#issuecomment-852161282
bcsr,852161629,bryantal,User,2016-07-26T14:18:31Z,2021-06-01T14:15:33Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/15,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/15#issuecomment-852161629
bcsr,852161323,bryantal,User,2016-07-26T14:22:38Z,2021-06-01T14:15:11Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/8,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/8#issuecomment-852161323
bcsr,852161414,bryantal,User,2016-08-02T17:21:53Z,2021-06-01T14:15:18Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/10,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/10#issuecomment-852161414
bcsr,852161074,bryantal,User,2016-08-02T17:22:31Z,2021-06-01T14:14:51Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/3,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/3#issuecomment-852161074
bcsr,852161591,bryantal,User,2016-08-02T17:24:09Z,2021-06-01T14:15:30Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/14,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/14#issuecomment-852161591
bcsr,852161233,bryantal,User,2016-08-02T17:28:07Z,2021-06-01T14:15:04Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/6,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/6#issuecomment-852161233
bcsr,852161285,bryantal,User,2016-08-02T17:29:28Z,2021-06-01T14:15:08Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/7,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/7#issuecomment-852161285
bcsr,852161736,bryantal,User,2016-08-02T17:59:40Z,2021-06-01T14:15:42Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/18,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/18#issuecomment-852161736
bcsr,852161738,bryantal,User,2016-08-02T18:00:42Z,2021-06-01T14:15:42Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/18,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/18#issuecomment-852161738
bcsr,852161741,bryantal,User,2016-08-02T18:03:06Z,2021-06-01T14:15:42Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/18,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/18#issuecomment-852161741
bcsr,852161745,bryantal,User,2016-08-02T18:07:12Z,2021-06-01T14:15:42Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/18,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/18#issuecomment-852161745
bcsr,852161748,bryantal,User,2016-08-02T18:07:55Z,2021-06-01T14:15:42Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/18,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/18#issuecomment-852161748
bcsr,852161750,bryantal,User,2016-08-02T18:09:03Z,2021-06-01T14:15:42Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/18,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/18#issuecomment-852161750
bcsr,852161287,bryantal,User,2016-08-10T20:25:49Z,2021-06-01T14:15:08Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/7,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/7#issuecomment-852161287
bcsr,852161291,bryantal,User,2016-08-11T02:15:51Z,2021-06-01T14:15:08Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/7,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/7#issuecomment-852161291
bcsr,852161294,bryantal,User,2016-08-11T14:44:13Z,2021-06-01T14:15:08Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/7,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/7#issuecomment-852161294
bcsr,852161236,bryantal,User,2016-08-11T14:44:31Z,2021-06-01T14:15:04Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/bcsr/issues/6,https://github.com/BCStudentSoftwareDevTeam/bcsr/issues/6#issuecomment-852161236
