repo,sha,author,author_type,committer,date,message,html_url
urcpp,633877c094e0a753a38615990b52a3fb4cba274e,hoerstl,User,hoerstl,2025-02-27T16:01:53Z,Changed permissions of the venv when running setup.sh,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/633877c094e0a753a38615990b52a3fb4cba274e
urcpp,e3351f638b1e88aaf1fc719d3de76810d59991cf,hoerstl,User,hoerstl,2025-02-27T15:22:05Z,Changed line endings in the setup.sh file and for all .sh files,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/e3351f638b1e88aaf1fc719d3de76810d59991cf
urcpp,ed1a208a3ec6ceab2c8816a44803a43af36b82dd,hoerstl,User,hoerstl,2025-02-27T15:02:31Z,Fixed the line endings in entrypoint.sh,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/ed1a208a3ec6ceab2c8816a44803a43af36b82dd
urcpp,c72dda9c682f0a2513951d9974a0dd4552ef3965,hoerstl,User,hoerstl,2025-02-25T16:42:05Z,Changed some line endings and fixed the devcontainer somewhat,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/c72dda9c682f0a2513951d9974a0dd4552ef3965
urcpp,c6c867eef90f81175dc2355bcc6e27a9b0ef466f,hoerstl,User,hoerstl,2025-02-06T16:22:39Z,Fixed the docker configuration so now the app will run as expected in the devcontainer.,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/c6c867eef90f81175dc2355bcc6e27a9b0ef466f
urcpp,c67188e62b71c78bacf38be33631fe43bd732f14,hoerstl,User,hoerstl,2025-02-06T15:36:48Z,Fixed some issues with the devcontainer and made setup.sh run automatically on container start and when opening a bash terminal.,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/c67188e62b71c78bacf38be33631fe43bd732f14
urcpp,162ca101defebb0b983e4d889694aa9606492cd0,hoerstl,User,hoerstl,2025-01-30T16:48:28Z,Modernized the dockerfile and started work on the devcontainer.json file.,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/162ca101defebb0b983e4d889694aa9606492cd0
urcpp,5efdff1c9607d7fde266075fcdd9520510c91bda,sheggen,User,sheggen,2025-01-16T17:18:53Z,Fixing end date UX,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/5efdff1c9607d7fde266075fcdd9520510c91bda
urcpp,4f5c1b3586500cdd9aaf0a09af2d718c8c4acac7,sheggen,User,sheggen,2025-01-14T19:11:32Z,Fixing Py2 problems and getting it all back to working,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/4f5c1b3586500cdd9aaf0a09af2d718c8c4acac7
urcpp,7d4675811be9635fdc4a0c3cf51d78872c96ff03,root,,root,2020-12-21T15:00:20Z,"Logging and special characters are conflicting, disabled logging",https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/7d4675811be9635fdc4a0c3cf51d78872c96ff03
urcpp,776c136311982e9f41423357bd2b639aa16ec863,root,,root,2020-12-15T16:20:48Z,Fixed bug on dashboard where you can't upload a CV,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/776c136311982e9f41423357bd2b639aa16ec863
urcpp,c21af9228adc856552a97631c250b64dd14bbeae,root,,root,2020-05-21T18:43:20Z,one more place for real prod data,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/c21af9228adc856552a97631c250b64dd14bbeae
urcpp,ae277ba1ccc2ae77fd4b6ee87282b600afb538d2,sheggen,User,sheggen,2020-02-14T21:22:09Z,Fixing small bug so it constructs email correctly,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/ae277ba1ccc2ae77fd4b6ee87282b600afb538d2
urcpp,2f4e334e689122a198552a8f23d48a5c1cff45fe,Ubuntu,,Ubuntu,2020-01-08T14:26:21Z,saving changes and merged fixes to the rubric:,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/2f4e334e689122a198552a8f23d48a5c1cff45fe
urcpp,e3c0e85f600698ec500b7d4eea0dc5236c66d7c0,Bria Williams,,Bria Williams,2020-01-08T14:02:43Z,"Merged in rubricFixes (pull request #72)

Modifications in the Rubric and Voting",https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/e3c0e85f600698ec500b7d4eea0dc5236c66d7c0
urcpp,c101357d674e75b8289c1d46611067b65ababeed,Ubuntu,,Ubuntu,2020-01-07T15:04:53Z,removing flask files,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/c101357d674e75b8289c1d46611067b65ababeed
urcpp,8689ae22c0ad4bcc2b0155a21ea5d6664d169d70,Ubuntu,,Ubuntu,2020-01-06T18:23:08Z,fixing a miscalculation in allvotes page,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/8689ae22c0ad4bcc2b0155a21ea5d6664d169d70
urcpp,98a98e294035558770e6dcb3221105a40e29d4c7,Ubuntu,,Ubuntu,2020-01-06T16:27:29Z,saving changes before server crashes again,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/98a98e294035558770e6dcb3221105a40e29d4c7
urcpp,745961825c57be51a9dc926d9a7ca3064ef74ee1,Ubuntu,,Ubuntu,2020-01-06T16:21:00Z,saving changes before server crashes again,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/745961825c57be51a9dc926d9a7ca3064ef74ee1
urcpp,533a5d78a8ca7f1ea1f3f122e3a1958bebd3d352,Ubuntu,,Ubuntu,2020-01-06T16:18:33Z,saving changes before server crashes again,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/533a5d78a8ca7f1ea1f3f122e3a1958bebd3d352
urcpp,8451d6e51aa47ebaf1b39aa16a62274ecbdbe57b,Ubuntu,,Ubuntu,2020-01-06T16:16:58Z,saving changes before server crashes again,https://github.com/BCStudentSoftwareDevTeam/urcpp/commit/8451d6e51aa47ebaf1b39aa16a62274ecbdbe57b
