user,commits,prs_opened,own_prs_merged,teammate_prs_merged,issues_opened,conversation_comments,review_comments,reviews,approvals,repositories,repository_count,total_activity
hmanalai,0,0,0,0,175,347,0,0,0,urcpp,1,522
wgs1862019,208,0,0,0,0,0,0,0,0,urcpp,1,208
memo330179,178,0,0,0,0,0,0,0,0,urcpp,1,178
jadudm,109,0,0,0,0,0,0,0,0,urcpp,1,109
sheggen,78,1,0,0,5,8,0,0,0,urcpp,1,92
HaileyB0311,38,0,0,0,0,0,0,0,0,urcpp,1,38
Jamaliela,24,0,0,0,0,0,0,0,0,urcpp,1,24
agarwali,23,0,0,0,0,0,0,0,0,urcpp,1,23
Kat Adams & Bria Williams,15,0,0,0,0,0,0,0,0,urcpp,1,15
johnsonwe,15,0,0,0,0,0,0,0,0,urcpp,1,15
hoerstl,7,2,2,0,2,3,0,0,0,urcpp,1,14
Ubuntu,13,0,0,0,0,0,0,0,0,urcpp,1,13
Aleksandra Cvetanovska,12,0,0,0,0,0,0,0,0,urcpp,1,12
Guillermo Ramos,11,0,0,0,0,0,0,0,0,urcpp,1,11
sreynit02,0,3,2,0,2,0,3,3,0,urcpp,1,11
Jesson Soto,8,0,0,0,0,0,0,0,0,urcpp,1,8
Jesson Soto Ventura,8,0,0,0,0,0,0,0,0,urcpp,1,8
Guillermo Ramos Macias,7,0,0,0,0,0,0,0,0,urcpp,1,7
BriaW,6,0,0,0,0,0,0,0,0,urcpp,1,6
bryantal,0,0,0,0,1,1,2,2,0,urcpp,1,6
AndersonStettner,0,0,0,0,1,4,0,0,0,urcpp,1,5
Bria Williams,3,0,0,0,0,0,0,0,0,urcpp,1,3
Chauwaj,3,0,0,0,0,0,0,0,0,urcpp,1,3
root,3,0,0,0,0,0,0,0,0,urcpp,1,3
Cody Myers,2,0,0,0,0,0,0,0,0,urcpp,1,2
Lyisus,0,1,1,0,0,0,0,0,0,urcpp,1,1
Sher Sanginov,1,0,0,0,0,0,0,0,0,urcpp,1,1
bledsoef,0,0,0,0,0,1,0,0,0,urcpp,1,1
ojmakinde,0,0,0,0,0,1,0,0,0,urcpp,1,1
stevensonmichel,0,0,0,0,0,0,0,1,1,urcpp,1,1
