repo,id,author,author_type,created_at,updated_at,issue_url,html_url
urcpp,827796288,hmanalai,User,2015-12-02T02:11:32Z,2021-04-27T17:51:12Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/2,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/2#issuecomment-827796288
urcpp,827796257,hmanalai,User,2015-12-02T16:39:48Z,2021-04-27T17:51:09Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/1,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/1#issuecomment-827796257
urcpp,827796829,hmanalai,User,2015-12-04T02:09:35Z,2021-04-27T17:52:01Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/17,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/17#issuecomment-827796829
urcpp,827797110,hmanalai,User,2015-12-09T02:10:34Z,2021-04-27T17:52:27Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/26,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/26#issuecomment-827797110
urcpp,827797083,hmanalai,User,2015-12-09T02:10:45Z,2021-04-27T17:52:25Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/25,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/25#issuecomment-827797083
urcpp,827797064,hmanalai,User,2015-12-09T02:11:02Z,2021-04-27T17:52:22Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/24,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/24#issuecomment-827797064
urcpp,827796941,hmanalai,User,2015-12-09T03:31:56Z,2021-04-27T17:52:10Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/20,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/20#issuecomment-827796941
urcpp,827796943,hmanalai,User,2015-12-09T04:00:24Z,2021-04-27T17:52:10Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/20,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/20#issuecomment-827796943
urcpp,827796945,hmanalai,User,2015-12-09T12:49:46Z,2021-04-27T17:52:11Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/20,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/20#issuecomment-827796945
urcpp,827796948,hmanalai,User,2015-12-09T12:53:20Z,2021-04-27T17:52:11Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/20,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/20#issuecomment-827796948
urcpp,827797221,hmanalai,User,2015-12-11T01:59:24Z,2021-04-27T17:52:40Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/31,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/31#issuecomment-827797221
urcpp,827796836,hmanalai,User,2015-12-18T19:50:50Z,2021-04-27T17:52:01Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/17,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/17#issuecomment-827796836
urcpp,827797129,hmanalai,User,2015-12-18T19:51:07Z,2021-04-27T17:52:30Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/27,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/27#issuecomment-827797129
urcpp,827797134,hmanalai,User,2015-12-18T19:51:13Z,2021-04-27T17:52:30Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/27,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/27#issuecomment-827797134
urcpp,827797008,hmanalai,User,2015-12-18T19:52:42Z,2021-04-27T17:52:16Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/22,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/22#issuecomment-827797008
urcpp,827797253,hmanalai,User,2015-12-20T02:50:22Z,2021-04-27T17:52:43Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/32,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/32#issuecomment-827797253
urcpp,827797199,hmanalai,User,2015-12-20T02:51:52Z,2021-04-27T17:52:38Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/30,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/30#issuecomment-827797199
urcpp,827796904,hmanalai,User,2015-12-20T03:13:25Z,2021-04-27T17:52:07Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/19,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/19#issuecomment-827796904
urcpp,827796870,hmanalai,User,2015-12-20T03:13:42Z,2021-04-27T17:52:04Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/18,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/18#issuecomment-827796870
urcpp,827796801,hmanalai,User,2015-12-20T03:18:45Z,2021-04-27T17:51:58Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/16,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/16#issuecomment-827796801
urcpp,827796774,hmanalai,User,2015-12-20T03:19:08Z,2021-04-27T17:51:56Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/15,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/15#issuecomment-827796774
urcpp,827796461,hmanalai,User,2015-12-20T03:19:54Z,2021-04-27T17:51:25Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/7,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/7#issuecomment-827796461
urcpp,827796426,hmanalai,User,2015-12-20T03:20:07Z,2021-04-27T17:51:22Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/6,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/6#issuecomment-827796426
urcpp,827796358,hmanalai,User,2015-12-20T03:20:32Z,2021-04-27T17:51:17Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/4,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/4#issuecomment-827796358
urcpp,827796320,hmanalai,User,2015-12-20T03:21:04Z,2021-04-27T17:51:15Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/3,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/3#issuecomment-827796320
urcpp,827797032,hmanalai,User,2016-01-18T16:30:44Z,2021-04-27T17:52:18Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/23,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/23#issuecomment-827797032
urcpp,827797498,hmanalai,User,2016-01-25T14:46:14Z,2021-04-27T17:53:03Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/39,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/39#issuecomment-827797498
urcpp,827797440,hmanalai,User,2016-01-25T14:47:50Z,2021-04-27T17:52:57Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/37,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/37#issuecomment-827797440
urcpp,827797575,hmanalai,User,2016-01-28T02:30:45Z,2021-04-27T17:53:09Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/41,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/41#issuecomment-827797575
urcpp,827797579,hmanalai,User,2016-01-28T02:38:06Z,2021-04-27T17:53:09Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/41,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/41#issuecomment-827797579
urcpp,827797584,hmanalai,User,2016-01-29T01:09:24Z,2021-04-27T17:53:09Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/41,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/41#issuecomment-827797584
urcpp,827797535,hmanalai,User,2016-01-29T02:13:39Z,2021-04-27T17:53:05Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/40,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/40#issuecomment-827797535
urcpp,827797618,hmanalai,User,2016-02-10T18:12:28Z,2021-04-27T17:53:12Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/42,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/42#issuecomment-827797618
urcpp,827797705,hmanalai,User,2016-09-01T22:08:21Z,2021-04-27T17:53:21Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797705
urcpp,827797710,hmanalai,User,2016-09-05T16:19:42Z,2021-04-27T17:53:21Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797710
urcpp,827797713,hmanalai,User,2016-09-05T16:33:55Z,2021-04-27T17:53:21Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797713
urcpp,827797717,hmanalai,User,2016-09-05T16:34:25Z,2021-04-27T17:53:21Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797717
urcpp,827797718,hmanalai,User,2016-09-05T18:37:10Z,2021-04-27T17:53:22Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797718
urcpp,827797724,hmanalai,User,2016-09-05T18:41:01Z,2021-04-27T17:53:22Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797724
urcpp,827797866,hmanalai,User,2016-09-05T21:42:35Z,2021-04-27T17:53:35Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/50,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/50#issuecomment-827797866
urcpp,827797758,hmanalai,User,2016-09-06T01:23:26Z,2021-04-27T17:53:25Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/46,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/46#issuecomment-827797758
urcpp,827797727,hmanalai,User,2016-09-06T16:48:22Z,2021-04-27T17:53:22Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/45,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/45#issuecomment-827797727
urcpp,827797795,hmanalai,User,2016-09-14T23:26:06Z,2021-04-27T17:53:27Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/47,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/47#issuecomment-827797795
urcpp,827797887,hmanalai,User,2016-09-14T23:27:41Z,2021-04-27T17:53:37Z,https://api.github.com/repos/BCStudentSoftwareDevTeam/urcpp/issues/51,https://github.com/BCStudentSoftwareDevTeam/urcpp/issues/51#issuecomment-827797887
